Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Homeless and Police PR - W184,,,,,,,,
,Table 8,,,,,,,,
,"Q3. Summary : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?",,,,,,,,
,BASE: All respondents,,,,,,,,
,,,,,,,,,
,,Total,Very good job,Fairly good job,Fairly bad job,Very bad job,Don't know,Sum: Good job,Sum: Bad job
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g
,Investigating minor crimes,2235,171,564,701,620,178,736,1321
,,,0.08,0.25,0.31,0.28,0.08,0.33,0.59
,Having a visible presence in your area,2235,183,614,732,578,129,797,1310
,,,0.08,0.27,0.33,0.26,0.06,0.36,0.59
,Acting as a deterrent for criminal activity,2235,193,699,749,400,194,892,1149
,,,0.09,0.31,0.34,0.18,0.09,0.4,0.51
,Policing peaceful protests in the UK,2235,290,964,488,289,204,1253,777
,,,0.13,0.43,0.22,0.13,0.09,0.56,0.35
,Investigating major crimes,2235,325,1027,427,248,208,1352,675
,,,0.15,0.46,0.19,0.11,0.09,0.6,0.3
,Policing major events i.e. football matches,2235,361,1208,319,145,202,1568,465
,,,0.16,0.54,0.14,0.07,0.09,0.7,0.21
,"Columns Tested: a,b,c,d,e,f,g",,,,,,,,
,,,,,,,,,
,Prepared by Savanta,,,,,,,,
