Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Transport Podcast,,,,,,,,
,Table 3,,,,,,,,
,QTPW177Q4. Summary : To what extent do you support or oppose each of the following proposals?,,,,,,,,
,BASE: All respondents,,,,,,,,
,,Total,Strongly oppose,Tend to oppose,Tend to support,Strongly support,Don't know,Sum: Support,Sum: Oppose
,"Increasing the government grant for installing a heat pump from £5,000 to £7,500",2100,162,237,682,503,516,1185,399
,,,0.08,0.11,0.32,0.24,0.25,0.56,0.19
,Delaying the ban on the sale of new diesel and petrol vehicles from 2030 to 2035,2100,358,374,552,499,317,1051,732
,,,0.17,0.18,0.26,0.24,0.15,0.5,0.35
,Delaying the ban on new fossil fuel boilers for off-grid homes from 2026 to 2035,2100,287,340,596,392,486,988,626
,,,0.14,0.16,0.28,0.19,0.23,0.47,0.3
,Removing the requirement for all rented properties to be energy efficient (have an EPC 'C' rating) by 2025,2100,330,425,522,325,498,847,755
,,,0.16,0.2,0.25,0.15,0.24,0.4,0.36
,"Proposals to scrap the northern leg of the HS2 rail line to Manchester, and the HS2 connection to Euston",2100,325,391,450,329,604,780,716
,,,0.15,0.19,0.21,0.16,0.29,0.37,0.34
,Ongoing strike action by rail staff,2100,566,495,457,319,264,776,1060
,,,0.27,0.24,0.22,0.15,0.13,0.37,0.5
,The introduction of a default 20 mph speed limit on roads in Wales,2100,439,462,507,252,440,758,902
,,,0.21,0.22,0.24,0.12,0.21,0.36,0.43
,The expansion of the Ultra-Low Emission Zone (ULEZ) in London,2100,570,426,424,273,407,697,996
,,,0.27,0.2,0.2,0.13,0.19,0.33,0.47
,"The proposed closure of most railway ticket offices, with staff moving to platforms and concourses",2100,681,593,357,147,322,504,1274
,,,0.32,0.28,0.17,0.07,0.15,0.24,0.61
,"Recent disruption to air traffic control, resulting in large numbers of flight cancellations",0,0,0,0,0,0,0,0
,,,0,0,0,0,0,0,0
,None of these,0,0,0,0,0,0,0,0
,,,0,0,0,0,0,0,0
,,,,,,,,,
,Prepared by Savanta,,,,,,,,
