Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Transport Podcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"QTPW177Q4_3. Proposals to scrap the northern leg of the HS2 rail line to Manchester, and the HS2 connection to Euston: To what extent do you support or oppose each of the following proposals?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,,Social grade,,,,2019 Past Vote,,,,,,,,,2016 EU Vote,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2100,971,1123,184,310,294,356,431,524,494,650,955,47,151,251,101,188,144,203,166,184,296,152,217,1758,480,452,271,897,651,531,114,37,39,54,11,38,434,793,695,477
,Total,2100,1019,1069,230,359,332,367,307,479,589,699,786,63,177,234,85,171,102,181,149,181,285,196,275,1758,573,590,426,510,629,522,115,27,38,62,8,50,465,713,719,532
,Strongly oppose,325,189,133,34,68,48,47,53,76,102,95,129,4,24,65,17,33,11,24,17,15,37,27,51,287,110,81,63,71,90,121,22,5,4,10,1,4,53,107,129,77
,,0.15,0.19,0.12,0.15,0.19,0.14,0.13,0.17,0.16,0.17,0.14,0.16,0.06,0.13,0.28,0.2,0.19,0.11,0.13,0.12,0.08,0.13,0.14,0.19,0.16,0.19,0.14,0.15,0.14,0.14,0.23,0.19,0.2,0.11,0.16,0.15,0.08,0.11,0.15,0.18,0.15
,,,b,,,dh,,,,,,,,,,abefghijklm,afi,afi,,,,,,,afi,i,bd,,,,,ahi,i,,,,,,,,,
,Tend to oppose,391,185,206,34,63,63,79,65,87,97,142,152,13,28,36,19,38,16,39,20,38,64,33,47,333,124,107,66,94,126,106,18,5,9,11,*,7,88,116,157,99
,,0.19,0.18,0.19,0.15,0.18,0.19,0.21,0.21,0.18,0.17,0.2,0.19,0.21,0.16,0.16,0.22,0.22,0.16,0.22,0.13,0.21,0.22,0.17,0.17,0.19,0.22,0.18,0.16,0.18,0.2,0.2,0.15,0.17,0.24,0.17,0.05,0.13,0.19,0.16,0.22,0.19
,,,,,,,,,,,,,,,,,,h,,h,,,ch,,,,c,,,,,,,,,,,,,,a,
,Tend to support,450,252,198,59,92,75,68,46,85,151,144,131,10,47,39,14,38,20,35,55,38,50,48,57,374,112,131,122,85,112,113,24,2,4,14,2,13,120,128,146,139
,,0.21,0.25,0.19,0.25,0.26,0.23,0.19,0.15,0.18,0.26,0.21,0.17,0.15,0.26,0.17,0.16,0.22,0.2,0.19,0.37,0.21,0.18,0.25,0.21,0.21,0.2,0.22,0.29,0.17,0.18,0.22,0.21,0.07,0.1,0.23,0.23,0.27,0.26,0.18,0.2,0.26
,,,b,,efi,defi,ei,,,,defhi,ei,,,cj,,,,,,abcdefgijklm,,,c,,,,d,ad,,,d,,,,d,,d,ade,,,ab
,Strongly support,329,205,122,36,46,52,58,42,96,82,110,137,13,18,35,15,19,18,35,26,24,60,21,47,280,100,75,60,94,139,59,26,7,12,5,*,8,56,168,84,60
,,0.16,0.2,0.11,0.16,0.13,0.16,0.16,0.14,0.2,0.14,0.16,0.17,0.21,0.1,0.15,0.17,0.11,0.17,0.19,0.17,0.13,0.21,0.11,0.17,0.16,0.17,0.13,0.14,0.19,0.22,0.11,0.23,0.26,0.33,0.08,0.05,0.15,0.12,0.24,0.12,0.11
,,,b,,,,,,,beg,,,b,b,,,,,,bek,,,beikm,,,,b,,,b,bfi,,bfi,bfi,bfi,,,,,bc,,
,Don't know,604,188,410,68,90,94,115,101,137,157,209,238,23,61,58,21,44,37,49,30,67,75,66,74,484,127,195,116,167,160,124,25,8,8,22,4,19,148,193,202,156
,,0.29,0.18,0.38,0.29,0.25,0.28,0.31,0.33,0.28,0.27,0.3,0.3,0.36,0.34,0.25,0.25,0.26,0.36,0.27,0.2,0.37,0.26,0.34,0.27,0.28,0.22,0.33,0.27,0.33,0.26,0.24,0.22,0.3,0.22,0.35,0.52,0.37,0.32,0.27,0.28,0.29
,,,,a,,,,,bg,,,,,h,ch,,,,cehjm,,,cdeghjlm,,h,,h,,a,,a,,,,,,,,,abc,,,
,Sum: Support,780,457,320,95,138,127,126,88,181,233,254,268,23,64,74,29,56,38,69,81,62,110,69,103,654,212,207,182,179,252,172,50,9,16,19,2,21,176,296,231,199
,,0.37,0.45,0.3,0.41,0.38,0.38,0.34,0.29,0.38,0.4,0.36,0.34,0.36,0.36,0.32,0.34,0.33,0.38,0.38,0.55,0.34,0.39,0.35,0.38,0.37,0.37,0.35,0.43,0.35,0.4,0.33,0.44,0.33,0.43,0.31,0.28,0.42,0.38,0.42,0.32,0.37
,,,b,,e,e,e,,,e,ei,e,e,,,,,,,,abcdefgijklm,,,,,,,,bd,,b,,b,,,,,,,b,,
