Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,
,Table 115,,,,,,,,,,,,,,,
,Q8. Summary Table: Which of the following do you think could help a child stay safe online?,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,
,,,Scale,,,,,,,,,,,,,
,,Total,1,2.0,3,4.0,5,6.0,7.0,8.0,9.0,10,Don't know,None of these,Not Ranked,NET: Top3
,Online safety for child(ren),,,,,,,,,,,,,,,
,Teaching children about Online Safety at school,2016,268,218.0,218,161.0,111,87.0,65.0,66.0,50.0,39,49,11,674,704
,,,0.13,0.11,0.11,0.08,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.33,0.35
,Blocking inappropriate online content,2016,241,234.0,200,139.0,102,94.0,69.0,61.0,54.0,52,49,11,712,675
,,,0.12,0.12,0.1,0.07,0.05,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.35,0.33
,Talking to child about Online Safety by parents/guardians,2016,234,231.0,188,147.0,123,89.0,58.0,77.0,58.0,36,49,11,717,653
,,,0.12,0.11,0.09,0.07,0.06,0.04,0.03,0.04,0.03,0.02,0.02,0.01,0.36,0.32
,Encouraging children to speak to a trusted adult (e.g. teacher or a parent) about their concerns,2016,208,229.0,189,159.0,130,94.0,87.0,61.0,57.0,46,49,11,696,627
,,,0.1,0.11,0.09,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.35,0.31
,"Making use of parental controls (e.g. on platforms, devices, Wi-Fi)",2016,244,187.0,173,148.0,118,80.0,75.0,64.0,52.0,48,49,11,770,603
,,,0.12,0.09,0.09,0.07,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.38,0.3
,Blocking contact from people they don't know online,2016,190,195.0,188,136.0,98,92.0,95.0,69.0,51.0,39,49,11,803,573
,,,0.09,0.1,0.09,0.07,0.05,0.05,0.05,0.03,0.03,0.02,0.02,0.01,0.4,0.28
,Blocking downloading of apps that are not age-appropriate,2016,189,188.0,182,129.0,125,84.0,99.0,67.0,51.0,39,49,11,803,559
,,,0.09,0.09,0.09,0.06,0.06,0.04,0.05,0.03,0.03,0.02,0.02,0.01,0.4,0.28
,"Reporting inappropriate content to a trusted organisation (e.g. school, charity helplines, police)",2016,144,158.0,138,127.0,99,87.0,86.0,82.0,72.0,58,49,11,906,440
,,,0.07,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.01,0.45,0.22
,Never sharing passwords with other people,2016,148,135.0,128,94.0,101,85.0,83.0,76.0,74.0,93,49,11,940,411
,,,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.02,0.01,0.47,0.2
,Using in-platform reporting tools (e.g. Instagram Report),2016,84,92.0,89,59.0,68,75.0,55.0,73.0,123.0,129,49,11,1109,265
,,,0.04,0.05,0.04,0.03,0.03,0.04,0.03,0.04,0.06,0.06,0.02,0.01,0.55,0.13
,Other,2016,5,0.0,1,0.0,1,0.0,0.0,0.0,0.0,1,49,11,1949,6
,,,*%,0.0,*%,0.0,*%,0.0,0.0,0.0,0.0,*%,0.02,0.01,0.97,*%
,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,
