Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q8. Summary Table (Top:10): Which of the following do you think could help a child stay safe online?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,d,a,b,c
,Unweighted Total,2016,813,951,1024,1420,1293,610,1391,15,915,1098,54,148,227,93,171,94,185,151,169,276,181,267,1137,879,1684,76,121,119,15,325,1084,899,1983,33,235,561,1179
,Total,2016,805,954,1032,1424,1292,605,1396,16,974,1039,62,147,234,91,164,90,181,163,163,270,182,270,1134,882,1685,75,122,119,15,325,1027,956,1983,33,241,559,1176
,Using in-platform reporting tools (e.g. Instagram Report),847,380,420,392,604,552,290,552,5,403,443,25,55,91,37,66,39,79,71,67,121,73,122,489,359,711,35,48,47,6,134,438,394,832,15,114,256,471
,,0.42,0.47,0.44,0.38,0.42,0.43,0.48,0.4,0.34,0.41,0.43,0.41,0.38,0.39,0.41,0.41,0.44,0.43,0.44,0.41,0.45,0.4,0.45,0.43,0.41,0.42,0.46,0.4,0.4,0.42,0.41,0.43,0.41,0.42,0.46,0.47,0.46,0.4
,,,c,c,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,c,
,"Reporting inappropriate content to a trusted organisation (e.g. school, charity helplines, police)",1051,432,505,508,741,674,334,708,8,483,565,35,70,122,47,79,54,100,93,84,143,90,134,588,463,897,36,60,50,7,150,559,471,1030,21,115,302,628
