Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,
,Table 24,,,,,,,,,,,,,,,,,,,,
,"Q5a. Summary Table: Which of the following, if any, are you concerned about on behalf of your child/children aged 6 - 11?",,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 6 - 11,,,,,,,,,,,,,,,,,,,,
,,,Scale,,,,,,,,,,,,,,,,,,
,,Total,1,2.0,3.0,4.0,5.0,6.0,7,8.0,9.0,10.0,11.0,12.0,13.0,14,Don't know,None of these,Not Ranked,NET: 1-3,NET: 1-14
,Concerned about child(ren),,,,,,,,,,,,,,,,,,,,
,Bullying,954,122,108.0,94.0,63.0,48.0,36.0,24,17.0,18.0,14.0,9.0,8.0,6.0,1,20,46,319,324,569
,,,0.13,0.11,0.1,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,*%,0.02,0.05,0.33,0.34,0.6
,Emotional wellbeing and/or mental health issues,954,94,90.0,92.0,53.0,45.0,35.0,34,27.0,17.0,12.0,12.0,8.0,5.0,5,20,46,359,276,530
,,,0.1,0.09,0.1,0.06,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.38,0.29,0.56
,Excessive screen time,954,113,79.0,65.0,55.0,56.0,33.0,23,14.0,19.0,18.0,17.0,15.0,10.0,15,20,46,357,257,532
,,,0.12,0.08,0.07,0.06,0.06,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.05,0.37,0.27,0.56
,Social media use,954,85,85.0,65.0,58.0,47.0,37.0,34,20.0,15.0,15.0,16.0,12.0,16.0,8,20,46,374,236,515
,,,0.09,0.09,0.07,0.06,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.05,0.39,0.25,0.54
,Stranger danger,954,72,81.0,67.0,37.0,20.0,40.0,32,25.0,17.0,24.0,13.0,13.0,12.0,9,20,46,425,220,463
,,,0.08,0.09,0.07,0.04,0.02,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.05,0.45,0.23,0.49
,Friendships groups,954,79,75.0,55.0,39.0,45.0,24.0,15,22.0,19.0,18.0,25.0,17.0,18.0,13,20,46,425,209,464
,,,0.08,0.08,0.06,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.05,0.45,0.22,0.49
,Accessing inappropriate content online,954,59,65.0,64.0,58.0,44.0,29.0,29,21.0,28.0,21.0,11.0,12.0,10.0,5,20,46,434,188,455
,,,0.06,0.07,0.07,0.06,0.05,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.05,0.45,0.2,0.48
,Inappropriate contact from adults online,954,50,48.0,55.0,38.0,44.0,29.0,30,23.0,24.0,14.0,17.0,25.0,15.0,5,20,46,473,153,416
,,,0.05,0.05,0.06,0.04,0.05,0.03,0.03,0.02,0.03,0.01,0.02,0.03,0.02,0.01,0.02,0.05,0.5,0.16,0.44
,Violence in the community,954,38,48.0,44.0,33.0,29.0,34.0,27,23.0,23.0,16.0,21.0,22.0,17.0,7,20,46,509,130,380
,,,0.04,0.05,0.05,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.05,0.53,0.14,0.4
,Learning development,954,36,44.0,42.0,36.0,23.0,24.0,26,25.0,31.0,21.0,17.0,23.0,16.0,15,20,46,508,122,380
,,,0.04,0.05,0.04,0.04,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.53,0.13,0.4
,Diet or eating habits,954,34,38.0,48.0,40.0,28.0,27.0,16,27.0,22.0,30.0,28.0,20.0,24.0,19,20,46,488,120,401
,,,0.04,0.04,0.05,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0.05,0.51,0.13,0.42
,Sexual abuse,954,41,37.0,41.0,45.0,35.0,24.0,15,23.0,17.0,11.0,17.0,21.0,20.0,22,20,46,518,119,370
,,,0.04,0.04,0.04,0.05,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.05,0.54,0.13,0.39
,"Global issues such as climate change, war or terrorism",954,38,27.0,33.0,22.0,23.0,29.0,21,26.0,22.0,22.0,20.0,21.0,20.0,37,20,46,527,98,362
,,,0.04,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.55,0.1,0.38
,Racism,954,28,25.0,29.0,18.0,18.0,10.0,23,17.0,14.0,20.0,23.0,17.0,38.0,42,20,46,566,82,323
,,,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.04,0.02,0.05,0.59,0.09,0.34
,Other,954,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,20,46,887,0,1
,,,0,0.0,0.0,0.0,0.0,0.0,*%,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02,0.05,0.93,0,*%
,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,
