Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,
,Table 43,,,,,,,,,,
,"Q5b. Summary Table: To what extent do you feel equipped, if at all, to help your child/chilren aged 6 - 11, navigate the following?",,,,,,,,,,
,BASE: All those with children aged 6 - 11 who are concerned about each statement,,,,,,,,,,
,,,Q5b. Scale,,,,,,,,
,,Total,Very equipped,Somewhat equipped,Neither equipped nor unequipped,Somewhat unequipped,Not at all equipped,Don't know,NET: Equipped,NET: Unequipped,Mean score
,Stranger danger,463,122,208,69,45,12,7,330,57,3.84
,,,0.26,0.45,0.15,0.1,0.03,0.02,0.71,0.12,
,Excessive screen time,532,109,269,83,58,9,4,378,67,3.78
,,,0.21,0.51,0.16,0.11,0.02,0.01,0.71,0.13,
,Diet or eating habits,401,80,200,66,43,5,7,280,48,3.78
,,,0.2,0.5,0.16,0.11,0.01,0.02,0.7,0.12,
,Learning development,380,79,179,66,41,9,6,259,50,3.75
,,,0.21,0.47,0.17,0.11,0.02,0.02,0.68,0.13,
,Accessing inappropriate content online,455,86,223,67,65,10,4,309,75,3.69
,,,0.19,0.49,0.15,0.14,0.02,0.01,0.68,0.16,
,Social media use,515,95,255,91,62,9,3,349,71,3.71
,,,0.18,0.49,0.18,0.12,0.02,0.01,0.68,0.14,
,Inappropriate contact from adults online,416,96,184,71,43,15,7,280,58,3.74
,,,0.23,0.44,0.17,0.1,0.04,0.02,0.67,0.14,
,Emotional wellbeing and/or mental health issues,530,83,265,104,59,10,9,348,69,3.68
,,,0.16,0.5,0.2,0.11,0.02,0.02,0.66,0.13,
,Racism,323,76,135,62,32,13,5,211,45,3.72
,,,0.24,0.42,0.19,0.1,0.04,0.01,0.66,0.14,
,Sexual abuse,370,110,131,71,36,18,5,241,54,3.77
,,,0.3,0.35,0.19,0.1,0.05,0.01,0.65,0.15,
,Friendships groups,464,70,225,92,57,12,8,295,69,3.62
,,,0.15,0.48,0.2,0.12,0.03,0.02,0.64,0.15,
,Bullying,569,90,263,116,75,16,9,354,91,3.6
,,,0.16,0.46,0.2,0.13,0.03,0.02,0.62,0.16,
,Violence in the community,380,71,130,96,60,18,5,201,78,3.47
,,,0.19,0.34,0.25,0.16,0.05,0.01,0.53,0.21,
,"Global issues such as climate change, war or terrorism",362,62,124,93,49,30,4,186,79,3.39
,,,0.17,0.34,0.26,0.14,0.08,0.01,0.51,0.22,
,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,
