Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,P037330 - KA Fraud Victims,,
,,,,,,
,,,,,,
,,,,Table 1 SEGMENT.,,BASE: All respondents
,,,,,,
,,,,Table 2 Gender. In which of the following ways do you identify?,,BASE: All respondents
,,,,,,
,,,,Table 3 Age. How old are you?,,BASE: All respondents
,,,,,,
,,,,Table 4 Regions. Where do you live?,,BASE: All respondents
,,,,,,
,,,,Table 5 UKCities. What is the nearest city to where you live?,,BASE: All respondents
,,,,,,
,,,,Table 6 Occupation. Which of the following best describes the profession of the chief income earner in your household?,,BASE: All respondents
,,,,,,
,,,,Table 7 OccupationRetired. Which of the following best describes the previous occupation of the chief income earner in your household before retirement?,,BASE: All retired on provate pension
,,,,,,
,,,,Table 8 Occupation/OccupationRetired. Which of the following best describes the profession of the chief income earner in your household? Including previous occupation,,BASE: All respondents
,,,,,,
,,,,Table 9 dSEG. SEG - set from Occupation question,,BASE: All respondents
,,,,,,
,,,,Table 10 Ethnicity. How would you describe your ethnic origin?,,BASE: All respondents
,,,,,,
,,,,"Table 11 Q1. Have you ever been a victim of fraud? (Please note, this could be any type of fraud - such as text scams, romance fraud, cold calling, identity theft, investment fraud, etc.)",,BASE: All respondents
,,,,,,
,,,,Table 12 Q1b. Did you lose any money when you were a victim of fraud?,,BASE: All respondents
,,,,,,
,,,,Table 13 Q2. What type of fraud were you a victim of?,,BASE: All respondents
,,,,,,
,,,,"Table 14 Q3. You said that you lost money as a result of being a victim of fraud. Which of the following statements, if any, apply to your experience of being a victim of fraud?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 15 Q4. Reflecting on your experience(s) of being defrauded, how did you feel immediately after the incident (i.e., at the time you lost your money, or discovered the person you had been speaking with was not who they said they were)?",,BASE: All respondents
,,,,,,
,,,,"Table 16 Q5_1. Your sleep: What impact, if any, did your experience of being defrauded have on the following:",,BASE: All respondents
,,,,,,
