<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q5_1. Your sleep: What impact, if any, did your experience of being defrauded have on the following:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A significant impact,438,212,225,57,109,95,68,57,52,16,28,44,23,34,21,36,41,29,53,30,82,35,33,27,19,23,11,19,14,284,151,295,67,44,24,8,55,382
,0.2,0.2,0.2,0.26,0.3,0.27,0.19,0.17,0.1,0.27,0.16,0.19,0.26,0.19,0.21,0.19,0.26,0.16,0.18,0.15,0.29,0.22,0.23,0.29,0.16,0.2,0.13,0.24,0.17,0.2,0.21,0.18,0.34,0.31,0.23,0.25,0.37,0.19
,,,, ef, def, def, f, f,,,,, bik,,,, bijk,,,, bcegijk,, f, df,,,, f,,,,, ad, a,,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some impact,1031,474,553,96,176,172,182,170,235,30,88,119,38,87,48,92,72,96,134,94,133,76,68,42,57,62,46,37,38,695,333,809,88,64,54,16,68,964
,0.48,0.46,0.5,0.43,0.48,0.49,0.51,0.5,0.46,0.5,0.49,0.51,0.44,0.5,0.48,0.49,0.46,0.51,0.46,0.46,0.48,0.47,0.48,0.45,0.48,0.52,0.54,0.48,0.46,0.49,0.47,0.48,0.45,0.44,0.51,0.54,0.46,0.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No impact,618,325,293,64,78,75,100,108,194,12,61,64,23,49,26,58,40,55,100,72,58,50,35,21,38,31,26,18,30,417,200,520,35,33,24,5,22,596
,0.29,0.31,0.27,0.29,0.21,0.21,0.28,0.32,0.38,0.2,0.34,0.27,0.26,0.28,0.25,0.31,0.26,0.29,0.34,0.36,0.21,0.31,0.25,0.23,0.32,0.26,0.31,0.23,0.36,0.29,0.28,0.31,0.18,0.23,0.23,0.16,0.15,0.3
,, b,, bc,,, bc, bc, abcd,, l,,,,, l,, l, al, al,,,,,,,,, bcg,,, bc,,,,,, a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,35,15,21,2,1,6,3,5,18,0,2,6,1,3,3,0,2,3,5,5,4,0,4,2,2,1,2,1,1,17,18,31,1,1,1,1,1,34
,0.02,0.01,0.02,0.01,0,0.02,0.01,0.01,0.04,0,0.01,0.03,0.01,0.02,0.03,0,0.01,0.02,0.02,0.03,0.02,0,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0,0.01,0.01,0.03,0.01,0.02
,,,,,, b,,, bd,,, g,,, g,,,,, g,,, a,,,, a,,,, a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
