<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q10_7. I feel more confident in my ability to spot fraud since being a victim: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1335,655,676,169,294,251,230,179,212,35,123,191,46,110,79,105,102,99,168,84,193,88,116,62,64,70,73,64,61,892,439,976,143,124,75,17,117,1218
Total,1322,646,672,166,276,234,223,176,248,38,100,162,50,115,60,120,93,103,174,112,195,100,99,56,67,72,61,49,49,877,441,969,142,122,72,16,116,1205
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree (5.00),265,135,130,39,78,53,33,26,35,2,22,30,13,22,8,24,17,19,32,22,53,20,25,13,8,15,6,8,10,165,99,181,32,34,14,4,29,236
,0.2,0.21,0.19,0.24,0.28,0.23,0.15,0.15,0.14,0.05,0.22,0.19,0.26,0.2,0.14,0.2,0.18,0.19,0.18,0.2,0.27,0.2,0.25,0.23,0.11,0.2,0.1,0.16,0.21,0.19,0.23,0.19,0.22,0.28,0.19,0.28,0.25,0.2
,,,, def, def, def,,,,, a,, a, a,, a,,,, a, afj,, df, f,,,,,,,,,, a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree (4.00),590,319,268,81,117,107,93,71,121,20,41,72,21,44,31,56,37,50,83,50,85,44,46,21,32,30,25,25,21,403,185,438,63,50,33,6,50,540
,0.45,0.49,0.4,0.49,0.42,0.46,0.42,0.4,0.49,0.52,0.41,0.45,0.42,0.39,0.52,0.47,0.39,0.49,0.48,0.44,0.44,0.44,0.47,0.38,0.47,0.41,0.41,0.52,0.43,0.46,0.42,0.45,0.44,0.41,0.46,0.41,0.43,0.45
,, b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neither agree nor disagree (3.00),321,135,186,27,49,49,61,65,70,8,25,33,14,35,14,23,23,24,44,34,45,22,15,11,17,18,17,9,14,214,107,246,30,25,15,5,23,299
,0.24,0.21,0.28,0.17,0.18,0.21,0.27,0.37,0.28,0.2,0.25,0.2,0.28,0.31,0.23,0.19,0.25,0.23,0.25,0.31,0.23,0.22,0.15,0.2,0.26,0.26,0.29,0.19,0.28,0.24,0.24,0.25,0.21,0.21,0.2,0.31,0.19,0.25
,,, a,,,, ab, abcd, ab,,,,,,,,,,,,,,,,,, b,, b,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disagree (2.00),108,40,68,17,23,18,25,8,17,8,11,19,1,11,4,17,11,6,9,4,7,14,9,8,6,7,10,4,3,75,33,76,13,10,9,0,10,98
