Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 105,,,,,,,,,
,"Q18N. Summary Table: What impact, if any, do you think the rising cost of living will have on demand for the following community-based support services in your local community?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,Significantly increase demand,Slightly increase demand,Stay about the same,Slightly decrease demand,Significantly decrease demand,Don't know,NET: Increase demand,NET: Decrease demand
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,Food banks,8976,4114,2697,1288,274,121,482,6811,394
,,,0.46,0.3,0.14,0.03,0.01,0.05,0.76,0.04
,Debt advice and support (e.g. Citizens Advice),8976,3553,2804,1592,317,112,597,6357,429
,,,0.4,0.31,0.18,0.04,0.01,0.07,0.71,0.05
,Mental health charities and services,8976,3256,3053,1573,348,161,584,6309,510
,,,0.36,0.34,0.18,0.04,0.02,0.07,0.7,0.06
,Local housing charities (e.g. Shelter),8976,2760,2924,1977,394,167,755,5684,560
,,,0.31,0.33,0.22,0.04,0.02,0.08,0.63,0.06
,Local victim support charities (e.g. women's shelters),8976,1868,2981,2539,411,151,1026,4849,562
,,,0.21,0.33,0.28,0.05,0.02,0.11,0.54,0.06
,Community centres,8976,1386,2957,3228,563,210,633,4343,772
,,,0.15,0.33,0.36,0.06,0.02,0.07,0.48,0.09
,Local youth clubs or groups,8976,1374,2669,3103,787,264,779,4043,1051
,,,0.15,0.3,0.35,0.09,0.03,0.09,0.45,0.12
,"Free arts, culture or leisure (e.g. libraries, local museums, Parkrun).",8976,1146,2458,3445,888,293,747,3603,1181
,,,0.13,0.27,0.38,0.1,0.03,0.08,0.4,0.13
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
