Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,
,Table 141,,,,,,,,,,,,,,,,,
,"Q26. Summary Table: Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,11,12,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-12
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n,*o,*p
,Cost of living,8976,1557,1218,967,791,587,457,318,231,171,149,94,70,1557,3743,5120,6610
,,,0.17,0.14,0.11,0.09,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.17,0.42,0.57,0.74
,Rent prices,8976,943,1015,858,662,533,479,370,307,234,181,164,117,943,2816,4011,5863
,,,0.11,0.11,0.1,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.11,0.31,0.45,0.65
,Getting on the housing ladder,8976,1012,919,801,617,512,400,334,293,264,225,182,114,1012,2732,3862,5673
,,,0.11,0.1,0.09,0.07,0.06,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.11,0.3,0.43,0.63
,Poor mental health,8976,796,866,750,628,531,384,371,309,344,224,202,121,796,2412,3571,5527
,,,0.09,0.1,0.08,0.07,0.06,0.04,0.04,0.03,0.04,0.02,0.02,0.01,0.09,0.27,0.4,0.62
,Youth violence (incl. knife crime),8976,917,711,681,583,474,392,358,266,242,226,263,265,917,2309,3365,5377
,,,0.1,0.08,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.1,0.26,0.37,0.6
,Negative impact of social media,8976,692,741,658,547,519,457,380,345,275,256,185,148,692,2091,3157,5204
,,,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.08,0.23,0.35,0.58
,A lack of opportunities,8976,712,713,595,525,515,451,393,364,298,297,205,110,712,2019,3060,5177
,,,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.01,0.08,0.22,0.34,0.58
,"Lack of high quality, well-paid jobs",8976,575,652,597,540,498,476,405,347,304,281,219,119,575,1824,2862,5013
,,,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.06,0.2,0.32,0.56
,Body image pressures,8976,385,517,533,508,437,407,359,354,311,337,296,218,385,1436,2381,4664
,,,0.04,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.02,0.04,0.16,0.27,0.52
,A lack of spaces to go,8976,442,403,394,362,313,321,291,335,353,371,442,308,442,1239,1914,4335
,,,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.03,0.05,0.14,0.21,0.48
,Growing wealth gap between older and younger generations,8976,317,368,385,338,435,350,327,313,375,349,345,280,317,1069,1841,4180
,,,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.12,0.21,0.47
,Climate change,8976,315,309,286,244,217,199,238,228,240,340,478,874,315,911,1372,3970
,,,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.1,0.04,0.1,0.15,0.44
,Other,8976,20,6,5,4,7,1,3,*,1,0,1,2,20,31,42,49
,,,*%,*%,*%,*%,*%,*%,*%,*%,*%,0,*%,*%,*%,*%,*%,0.01
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,
