Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q14_W3.3. It will raise climate change up the international agenda: COP28 is the 28th UN Climate Change Conference taking place in Dubai in November 2023. This summit will bring key parties together from around the world to work on accelerating action to address climate change. Thinking about the COP28 conference, to what extent do you agree or disagree with each of the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Strongly agree,1164,556,602,227,251,178,169,154,184,478,347,339,462,702,276,387,220,175,106,663,501,572,581,858,30,144,85,41,726,430,260,199,1045,93,850,287,986,170,761,307,260,195,288,869,274,899,252
,,0.13,0.13,0.13,0.19,0.17,0.12,0.12,0.11,0.09,0.18,0.12,0.1,0.15,0.12,0.14,0.13,0.12,0.13,0.13,0.13,0.12,0.11,0.15,0.11,0.18,0.2,0.28,0.25,0.13,0.14,0.15,0.13,0.13,0.13,0.15,0.09,0.15,0.07,0.17,0.22,0.15,0.15,0.09,0.16,0.08,0.18,0.07
,,,,,cdefhi,cdefhi,fi,f,,,cdefhi,fi,,b,,,,,,,,,,a,,a,a,abc,a,,,a,,,,b,,b,,ce,acde,e,e,,b,,b,
,Tend to agree,3388,1559,1815,386,575,553,549,517,808,962,1102,1325,1067,2321,815,1138,691,496,248,1954,1435,1888,1489,2888,62,278,101,47,2210,1142,625,570,3078,260,2249,1043,2637,724,1824,531,753,540,1163,2178,1125,2145,1159
,,0.38,0.36,0.39,0.33,0.39,0.39,0.38,0.37,0.4,0.36,0.38,0.39,0.34,0.39,0.41,0.38,0.38,0.36,0.3,0.39,0.36,0.37,0.39,0.38,0.37,0.39,0.33,0.29,0.39,0.36,0.35,0.37,0.38,0.37,0.41,0.33,0.41,0.3,0.41,0.38,0.42,0.42,0.34,0.41,0.33,0.43,0.32
,,,,a,,a,a,a,a,ag,,a,a,,a,deg,eg,e,e,,eg,e,,a,d,,,,,bc,,,,,,b,,b,,be,e,be,be,,b,,b,
,Neither agree nor disagree,2465,1176,1282,294,371,390,407,419,583,665,797,1003,884,1581,499,799,510,396,261,1298,1167,1535,898,2140,33,168,73,44,1581,841,450,428,2238,177,1431,920,1684,730,1081,312,443,327,1006,1310,1046,1207,1133
,,0.27,0.27,0.28,0.25,0.25,0.27,0.28,0.3,0.29,0.25,0.28,0.29,0.29,0.27,0.25,0.27,0.28,0.29,0.31,0.26,0.29,0.3,0.24,0.28,0.2,0.24,0.24,0.28,0.28,0.27,0.25,0.28,0.28,0.25,0.26,0.3,0.26,0.31,0.24,0.22,0.25,0.26,0.3,0.25,0.31,0.24,0.31
,,,,,,,,bg,abg,bg,,bg,abg,,,,,a,a,abf,,af,b,,bcd,,,,,,,,,,,,a,,a,,,,b,abcd,,a,,a
,Tend to disagree,1035,567,456,128,156,169,158,156,268,284,327,424,356,679,248,351,219,142,76,599,437,565,464,897,23,66,23,22,644,385,225,193,915,92,565,438,666,354,474,143,203,128,445,523,488,435,568
,,0.12,0.13,0.1,0.11,0.11,0.12,0.11,0.11,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.09,0.12,0.11,0.11,0.12,0.12,0.14,0.09,0.08,0.14,0.11,0.12,0.13,0.12,0.11,0.13,0.1,0.14,0.1,0.15,0.11,0.1,0.11,0.1,0.13,0.1,0.15,0.09,0.16
,,,b,,,,,,,bg,,,,,,e,,,,,e,,,,d,d,,,,,,,,,,,a,,a,,,,,abd,,a,,a
,Strongly disagree,476,310,161,52,58,55,87,92,131,110,143,224,164,313,108,155,104,55,55,263,214,266,210,431,9,19,12,3,310,161,88,84,416,48,232,226,261,212,178,64,65,48,253,209,242,130,330
