Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,
,Table 24,,,,,,,,,,,,
,"Q7_W3. Summary Table: Thinking about what would benefit your local community, which of the following areas related to the physical environment do you think are most important?By 'local community' we mean the local area where you live.",,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,
,,,Rank,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-7
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k
,Safety on the streets,8976,2803,1513,1046,651,412,302,247,2803,5363,6426,6975
,,,0.31,0.17,0.12,0.07,0.05,0.03,0.03,0.31,0.6,0.72,0.78
,Young people having places to go and things to do,8976,1322,1493,1122,824,714,562,414,1322,3937,5476,6452
,,,0.15,0.17,0.13,0.09,0.08,0.06,0.05,0.15,0.44,0.61,0.72
,Keeping the area looking nice,8976,1185,1452,1122,714,678,584,668,1185,3759,5151,6403
,,,0.13,0.16,0.12,0.08,0.08,0.07,0.07,0.13,0.42,0.57,0.71
,"Having access to natural, green spaces",8976,1254,1291,1013,841,648,560,501,1254,3558,5046,6107
,,,0.14,0.14,0.11,0.09,0.07,0.06,0.06,0.14,0.4,0.56,0.68
,Community activities that bring people together,8976,1122,1021,961,780,714,734,662,1122,3104,4597,5993
,,,0.12,0.11,0.11,0.09,0.08,0.08,0.07,0.12,0.35,0.51,0.67
,Providing welcoming communal spaces,8976,593,804,847,867,874,854,622,593,2244,3986,5461
,,,0.07,0.09,0.09,0.1,0.1,0.1,0.07,0.07,0.25,0.44,0.61
,Plenty of sports facilities and clubs for people to join,8976,546,678,708,671,767,894,1137,546,1931,3369,5399
,,,0.06,0.08,0.08,0.07,0.09,0.1,0.13,0.06,0.22,0.38,0.6
,Other,8976,27,6,7,6,0,4,2,27,41,47,54
,,,*%,*%,*%,*%,0,*%,*%,*%,*%,0.01,0.01
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k",,,,,,,,,,,,
,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,
