Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,
,Table 6,,,,,,,,,,,,,,,
,Q4_W3. Summary Table: You said that you intend to volunteer in your local community next year. In which of the following areas do you think you might do this?By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,
,BASE: All respondents who intend to volunteer in their community in the next 12 months,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-10
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n
,Food banks,4459,600,457,293,122,77,61,54,38,35,30,600,1350,1548,1766
,,,0.13,0.1,0.07,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.3,0.35,0.4
,Environment (e.g. litter picking),4459,642,434,242,122,71,60,47,39,40,28,642,1318,1511,1724
,,,0.14,0.1,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.14,0.3,0.34,0.39
,Supporting older people,4459,597,416,300,155,93,59,30,33,36,33,597,1313,1560,1751
,,,0.13,0.09,0.07,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.29,0.35,0.39
,Charity shops,4459,569,448,264,131,75,58,33,29,39,29,569,1281,1487,1675
,,,0.13,0.1,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.29,0.33,0.38
,Supporting young people,4459,455,305,166,97,67,58,52,56,56,36,455,926,1090,1347
,,,0.1,0.07,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.1,0.21,0.24,0.3
,"Supporting people with multiple and complex needs (e.g. disabled, disadvantaged, homelessness, mental health issues)",4459,311,235,158,99,97,55,49,41,35,30,311,705,901,1111
,,,0.07,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.16,0.2,0.25
,Animal welfare,4459,321,238,138,103,67,53,33,52,51,41,321,697,867,1097
,,,0.07,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.16,0.19,0.25
,"Supporting people with the cost of living (e.g. budget management, cooking meals)",4459,192,185,125,84,68,65,72,53,34,35,192,503,654,913
,,,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.04,0.11,0.15,0.2
,Supporting local community through other volunteering / local action,4459,274,114,61,21,17,10,13,12,6,16,274,449,487,544
,,,0.06,0.03,0.01,*%,*%,*%,*%,*%,*%,*%,0.06,0.1,0.11,0.12
,Climate action,4459,131,130,115,65,64,38,55,50,53,74,131,376,505,776
,,,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.08,0.11,0.17
,"Mentoring of others (e.g. homeless, ex-offenders)",4459,142,118,102,74,68,52,52,62,64,62,142,362,504,797
,,,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.08,0.11,0.18
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,
