Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,
,Table 95,,,,,,,,,,
,"Q12N. Summary Table: Thinking about your local community, to what extent do you agree or disagree with the following statements?",,,,,,,,,,
,BASE: All respondents,,,,,,,,,,
,,,Scale,,,,,,,,
,,Total,Strongly agree,Tend to agree,Neither agree nor disagree,Tend to disagree,Strongly disagree,Don't know,Not applicable,NET: Agree,NET: Disagree
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i
,I would be willing to work together with others on something to improve my local community,8976,1592,4195,1917,658,354,204,57,5787,1011
,,,0.18,0.47,0.21,0.07,0.04,0.02,0.01,0.64,0.11
,"When people in this area get involved, they can really change this community",8976,1560,4076,1987,618,295,408,31,5636,913
,,,0.17,0.45,0.22,0.07,0.03,0.05,*%,0.63,0.1
,"If I needed help, there are people who would be there for me",8976,1521,3860,1688,1004,591,290,23,5381,1595
,,,0.17,0.43,0.19,0.11,0.07,0.03,*%,0.6,0.18
,People in my local community can be trusted,8976,1043,3723,2412,962,500,317,20,4765,1462
,,,0.12,0.41,0.27,0.11,0.06,0.04,*%,0.53,0.16
,I have opportunities to join in with things in my community,8976,1103,3520,2118,1284,606,281,63,4623,1891
,,,0.12,0.39,0.24,0.14,0.07,0.03,0.01,0.52,0.21
,I am able to play a role in my community,8976,977,3154,2605,1248,577,288,129,4130,1824
,,,0.11,0.35,0.29,0.14,0.06,0.03,0.01,0.46,0.2
,My community isn't the same as it used to be,8976,1271,2475,2664,1371,490,590,115,3745,1862
,,,0.14,0.28,0.3,0.15,0.05,0.07,0.01,0.42,0.21
,Difficult times in recent years (e.g. Covid-19 and Cost of Living crisis) has pulled us closer together,8976,954,2789,2545,1514,853,256,66,3742,2366
,,,0.11,0.31,0.28,0.17,0.09,0.03,0.01,0.42,0.26
,"Columns Tested: a,b,c,d,e,f,g,h,i",,,,,,,,,,
,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,
