Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 115,,,,,,,,,
,"Q19_W3. Summary Table: Which of the following, if any, have you done or do you plan to do as a result of the rising cost of living?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,I am currently doing this,I have done this previously but don't anticipate doing it in the future,I've not done this yet but will in the next month,I've not done this but may do in the next six months,I've not done this and don't anticipate doing it in the future,Don't know,NET: Currenty/have previously done this,NET: Will/might do this
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,Use a food bank,6241,505,550,366,692,3891,237,1055,1058
,,,0.08,0.09,0.06,0.11,0.62,0.04,0.17,0.17
,Seek advice on how to reduce household bills,6241,1247,709,603,906,2502,275,1956,1509
,,,0.2,0.11,0.1,0.15,0.4,0.04,0.31,0.24
,"Reduce non-essential spending (e.g. days out, eating out, or holidays)",6241,3126,661,478,643,1220,113,3787,1121
,,,0.5,0.11,0.08,0.1,0.2,0.02,0.61,0.18
,Reduce spending on essential items (e.g. food and heating),6241,2548,702,503,695,1690,105,3249,1197
,,,0.41,0.11,0.08,0.11,0.27,0.02,0.52,0.19
,Reduce the amount you donate to charity,6241,1931,596,497,686,2103,428,2527,1182
,,,0.31,0.1,0.08,0.11,0.34,0.07,0.4,0.19
,Go without heating,6241,1610,752,525,681,2502,170,2362,1207
,,,0.26,0.12,0.08,0.11,0.4,0.03,0.38,0.19
,Go without hot food,6241,824,683,392,559,3600,183,1507,952
,,,0.13,0.11,0.06,0.09,0.58,0.03,0.24,0.15
,Skip meals,6241,1254,746,390,526,3150,176,2000,916
,,,0.2,0.12,0.06,0.08,0.5,0.03,0.32,0.15
,Default on household bills,6241,744,600,379,567,3630,321,1344,946
,,,0.12,0.1,0.06,0.09,0.58,0.05,0.22,0.15
,Borrow money from family/friends,6241,945,882,372,533,3343,167,1826,904
,,,0.15,0.14,0.06,0.09,0.54,0.03,0.29,0.14
,Turn to family/friends for emotional/mental support,6241,1405,843,452,652,2599,289,2248,1104
,,,0.23,0.14,0.07,0.1,0.42,0.05,0.36,0.18
,Delay life changing decisions (e.g. retiring or having a child),6241,1158,524,387,561,3027,583,1683,948
,,,0.19,0.08,0.06,0.09,0.49,0.09,0.27,0.15
,Seek advice on debt and financial issues,6241,779,673,500,867,3129,293,1451,1367
,,,0.12,0.11,0.08,0.14,0.5,0.05,0.23,0.22
,Use a 'warm bank',6241,258,357,409,634,3740,843,616,1043
,,,0.04,0.06,0.07,0.1,0.6,0.13,0.1,0.17
,Use a 'community fridge',6241,316,383,391,560,4076,514,699,951
,,,0.05,0.06,0.06,0.09,0.65,0.08,0.11,0.15
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
