Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,
,Table 37,,,,,,,,,,,,,,,,,,,,,,,
,"Q8_W3. Summary Table: Thinking about the wellbeing of your local community, which of the following do you see as being most important in the year ahead (2024)? By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-18
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n,*o,*p,*q,*r,*s,*t,*u,*v
,Supporting people with the rising cost of living,6241,905,537,413,284,235,192,155,134,126,101,106,113,85,71,56,51,58,41,905,1855,2374,3663
,,,0.15,0.09,0.07,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.3,0.38,0.59
,People caring and looking out for each other,6241,654,521,354,298,214,196,144,167,132,122,133,92,109,96,89,73,79,70,654,1528,2040,3542
,,,0.1,0.08,0.06,0.05,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.1,0.24,0.33,0.57
,Reducing loneliness and isolation,6241,528,531,386,357,232,216,185,149,138,156,110,112,99,93,94,72,64,57,528,1446,2035,3578
,,,0.08,0.09,0.06,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.08,0.23,0.33,0.57
,Preventing youth violence,6241,541,394,333,292,208,174,159,123,158,141,109,122,128,117,116,95,90,67,541,1268,1768,3366
,,,0.09,0.06,0.05,0.05,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.09,0.2,0.28,0.54
