Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q9_W3.2. Job and employment prospects: How well do you think your local community is faring in each of the following areas?By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,Very well,483,287,193,116,122,79,54,45,67,238,133,112,72,17,35,61,38,46,63,37,116,182,301,150,156,86,59,31,307,177,207,272,317,18,103,30,15,309,169,104,72,420,41,410,65,440,41,365,170,127,68,95,427,51,333,142
,,0.08,0.1,0.06,0.14,0.12,0.08,0.05,0.05,0.05,0.13,0.07,0.05,0.09,0.06,0.06,0.09,0.07,0.07,0.06,0.05,0.12,0.08,0.07,0.11,0.07,0.07,0.06,0.06,0.09,0.06,0.06,0.1,0.06,0.13,0.18,0.12,0.12,0.08,0.08,0.09,0.07,0.07,0.08,0.11,0.03,0.1,0.02,0.12,0.17,0.1,0.08,0.04,0.12,0.02,0.1,0.06
,,,b,,cdefhi,cdefhi,defi,,,,cdefhi,efi,,cgh,,,cgh,,,,,abcefgh,,,bcdefg,,,,,cdeg,,,a,,a,ad,a,,,,,,,,b,,b,,de,acde,de,e,,b,,b,
,Fairly well,2437,1192,1236,326,421,395,371,364,560,747,766,924,306,88,237,229,205,277,454,281,361,672,1765,629,852,477,340,139,1481,956,1358,1061,2040,53,194,99,40,1685,725,393,328,2214,183,1695,669,1926,491,1330,431,541,358,810,1616,769,1408,971
,,0.39,0.4,0.39,0.4,0.4,0.39,0.37,0.38,0.4,0.4,0.38,0.39,0.37,0.3,0.39,0.35,0.38,0.43,0.44,0.4,0.37,0.31,0.43,0.44,0.41,0.38,0.36,0.25,0.42,0.35,0.38,0.41,0.4,0.4,0.35,0.41,0.31,0.42,0.34,0.32,0.31,0.39,0.38,0.45,0.3,0.43,0.29,0.43,0.44,0.44,0.4,0.35,0.44,0.32,0.4,0.39
,,,,,,,,,,,,,,b,,b,,b,abdi,abcdei,b,b,,a,bcdeg,deg,e,e,,cdeg,e,,a,c,,,,,bcd,,,,,,b,,b,,e,e,de,e,,b,,,
,Not very well,2046,925,1106,254,328,359,357,330,417,583,716,748,238,125,199,217,196,204,337,241,290,827,1219,426,652,429,341,198,1078,968,1196,836,1693,35,176,83,52,1276,745,421,379,1845,168,1163,817,1416,599,974,254,385,334,808,1083,902,1137,832
,,0.33,0.31,0.35,0.31,0.32,0.36,0.35,0.34,0.3,0.31,0.36,0.32,0.29,0.43,0.32,0.34,0.36,0.32,0.33,0.35,0.3,0.38,0.3,0.3,0.31,0.35,0.37,0.36,0.31,0.35,0.33,0.32,0.33,0.27,0.32,0.34,0.4,0.32,0.35,0.35,0.36,0.33,0.35,0.31,0.37,0.32,0.36,0.31,0.26,0.31,0.37,0.34,0.3,0.38,0.33,0.33
,,,,a,,,abfgi,fgi,f,,,abfgi,,,acdfghi,,,ai,,,ai,,b,,,,af,abf,af,,abf,,,,,,,,,a,,a,,,,a,,a,b,,b,abc,ab,,a,,
,Not at all well,616,298,316,84,117,101,117,90,107,201,218,197,108,30,74,74,54,57,85,48,87,278,337,93,197,133,95,97,290,326,379,227,526,13,44,14,16,301,302,192,158,545,53,256,341,368,237,273,65,114,94,275,243,350,337,249
,,0.1,0.1,0.1,0.1,0.11,0.1,0.12,0.09,0.08,0.11,0.11,0.08,0.13,0.1,0.12,0.11,0.1,0.09,0.08,0.07,0.09,0.13,0.08,0.07,0.09,0.11,0.1,0.18,0.08,0.12,0.11,0.09,0.1,0.1,0.08,0.06,0.12,0.08,0.14,0.16,0.15,0.1,0.11,0.07,0.16,0.08,0.14,0.09,0.07,0.09,0.1,0.12,0.07,0.15,0.1,0.1
,,,,,,fi,f,fi,,,fi,fi,,fghi,,ghi,gh,h,,,,,b,,,a,af,a,abcdfg,a,abf,b,,d,d,,,,,a,a,a,,,,a,,a,b,,b,b,abc,,a,,
,Don't know,659,304,350,42,52,70,108,131,255,94,178,387,93,34,68,66,49,56,88,91,113,196,463,128,229,118,97,87,357,302,439,213,575,12,40,17,6,434,216,107,128,600,42,282,306,326,301,167,59,62,45,359,266,304,272,302
,,0.11,0.1,0.11,0.05,0.05,0.07,0.11,0.14,0.18,0.05,0.09,0.16,0.11,0.12,0.11,0.1,0.09,0.09,0.09,0.13,0.12,0.09,0.11,0.09,0.11,0.09,0.1,0.16,0.1,0.11,0.12,0.08,0.11,0.09,0.07,0.07,0.05,0.11,0.1,0.09,0.12,0.11,0.09,0.07,0.14,0.07,0.18,0.05,0.06,0.05,0.05,0.15,0.07,0.13,0.08,0.12
,,,,,,,bg,abcg,abcdgh,abcdegh,,abcg,abcdegh,g,,,,,,,efg,g,,a,,a,,,abcdfg,,a,b,,cd,,,,,c,,,c,,,,a,,a,,,,,abcd,,a,,a
,NET: Well,2921,1480,1429,442,543,474,425,409,627,985,899,1036,378,104,271,290,242,323,517,318,477,854,2067,780,1008,562,399,171,1788,1133,1565,1334,2358,70,297,129,56,1994,894,497,400,2633,223,2105,735,2366,532,1695,601,668,426,905,2043,820,1741,1113
,,0.47,0.49,0.45,0.54,0.52,0.47,0.42,0.43,0.45,0.53,0.45,0.44,0.46,0.36,0.44,0.45,0.45,0.5,0.5,0.46,0.49,0.4,0.51,0.55,0.48,0.45,0.43,0.31,0.51,0.42,0.44,0.51,0.46,0.54,0.53,0.53,0.43,0.5,0.41,0.41,0.38,0.47,0.46,0.55,0.33,0.53,0.32,0.55,0.61,0.54,0.47,0.39,0.56,0.35,0.5,0.45
,,,b,,cdefhi,cdefhi,de,,,,cdefhi,,,b,,b,b,b,bcde,bcde,b,b,,a,bcdefg,deg,eg,e,,cdeg,e,,a,,a,a,a,,bcd,d,,,,,b,,b,,de,acde,de,e,,b,,b,
,NET: Not well,2662,1223,1422,338,446,460,473,420,524,784,934,944,345,155,273,291,250,261,421,289,377,1106,1556,519,849,562,436,295,1368,1294,1575,1063,2219,49,220,97,68,1577,1048,613,537,2390,221,1418,1158,1784,836,1247,320,499,428,1082,1327,1252,1474,1081
