Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,
,Table 75,,,,,,,,,,,,,,,,,,,
,"Q11_W3. Summary Table: Now thinking to the long-term future, what do you most hope to see change in your local community for the next generation?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-14
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n,*o,*p,*q,*r
,Reduced poverty and deprivation,6241,878,640,483,377,248,202,138,110,89,92,76,98,69,61,878,2001,2625,3560
,,,0.14,0.1,0.08,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.14,0.32,0.42,0.57
,Improved access to affordable housing,6241,800,614,512,363,220,183,191,121,119,90,87,82,80,59,800,1926,2509,3521
,,,0.13,0.1,0.08,0.06,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.31,0.4,0.56
,Thriving high street and shopping areas,6241,830,613,457,341,248,179,156,139,114,84,118,108,91,82,830,1900,2489,3559
,,,0.13,0.1,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.13,0.3,0.4,0.57
,Improved employment prospects,6241,395,509,444,340,297,224,169,163,150,124,108,93,89,58,395,1348,1984,3163
,,,0.06,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.06,0.22,0.32,0.51
,Improved social care,6241,414,513,408,340,290,229,195,132,156,145,101,96,99,57,414,1335,1965,3176
,,,0.07,0.08,0.07,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.07,0.21,0.31,0.51
,Better quality homes,6241,431,454,364,309,255,201,187,152,136,141,141,109,102,95,431,1250,1814,3078
,,,0.07,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.2,0.29,0.49
,Improved youth facilities,6241,412,437,370,332,295,225,195,168,161,130,132,113,97,75,412,1218,1846,3140
,,,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.07,0.2,0.3,0.5
,Cleaner air,6241,349,316,306,211,211,176,128,136,137,145,133,136,174,163,349,971,1393,2721
,,,0.06,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.06,0.16,0.22,0.44
,More green spaces,6241,323,318,323,253,203,157,139,164,166,150,161,167,137,146,323,964,1420,2807
,,,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.05,0.15,0.23,0.45
,Reduced levels of traffic/ more routes for cycling and walking,6241,310,279,266,193,187,167,184,140,135,146,129,144,190,177,310,855,1234,2645
,,,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.05,0.14,0.2,0.42
,More spaces for community use,6241,253,304,273,229,213,227,192,196,179,166,163,131,107,76,253,829,1272,2708
,,,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.04,0.13,0.2,0.43
,More highly rated state schools,6241,238,281,248,232,217,181,182,164,136,149,157,159,147,145,238,768,1216,2637
,,,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.04,0.12,0.19,0.42
,Improved community cohesion,6241,187,211,228,170,189,158,159,176,156,149,148,170,176,135,187,625,984,2410
,,,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.1,0.16,0.39
,Improved cultural facilities,6241,117,164,170,144,128,146,119,144,148,177,189,202,196,240,117,451,722,2283
,,,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.02,0.07,0.12,0.37
,Other,6241,27,10,12,9,5,1,2,0,1,0,0,0,2,0,27,49,63,68
,,,*%,*%,*%,*%,*%,*%,*%,0,*%,0,0,0,*%,0,*%,0.01,0.01,0.01
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,
