Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,IWF Omnibus October 2022 - Exposure to child sexual abuse content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q1. Please note that answering this question is voluntary. If you do not feel comfortable answering the below question, please select 'Prefer not to say'. Be assured that all information shared in this survey is for research purpose only and will be kept confidential. All data will be processed in adherence to Market Research Society's Code of Conduct and Data Protection Act. We would like to understand what sort of websites, including some inappropriate or illegal sites, internet users may be exposed to. Please indicate whether you have ever come into contact with or stumbled across any of the following types of websites or content online?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,Social grade,,Education,,Work Status,,,,,,,,Household makeup,,,Children,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,ABC1,C2DE,Non-graduates,Graduates,Working full time,Working part time,Not working but seeking work or temporarily unemployed or sick,Not working and not seeking work,Student,Retired on a state pension only,Retired with a private pension,"House person, housewife, househusband, etc.",No children (0-17) or people aged 65+,Children between the ages 0-17,People aged 65+,No children aged 18 or under,Net yes,"Yes, children aged under 5 years old","Yes, children aged 5-10 years old","Yes, children aged 11-15 years old","Yes, children aged 16-18 years old"
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,a,b,c,d,e,f,g,h,a,b,c,a,b,c,d,e,f
,Unweighted Total,2184,1143,1034,297,401,365,344,383,394,698,709,777,153,269,117,208,99,239,169,164,294,168,304,1932,1174,1010,1037,1087,1011,385,106,96,90,92,288,116,1017,723,465,1396,763,251,324,301,164
,Total,2184,1066,1118,242,378,349,387,323,505,620,736,828,190,251,92,183,109,194,159,194,306,210,295,1885,1210,974,1045,1082,996,264,100,83,106,119,347,167,966,701,548,1425,740,233,300,307,176
,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Hate websites e.g. racist or homophobic,236,134,102,54,65,47,35,19,17,119,82,36,8,32,14,17,9,30,15,23,21,15,53,219,145,92,85,145,139,32,10,12,20,5,9,10,103,109,27,115,120,38,50,46,29
,,0.11,0.13,0.09,0.22,0.17,0.13,0.09,0.06,0.03,0.19,0.11,0.04,0.04,0.13,0.15,0.09,0.08,0.16,0.09,0.12,0.07,0.07,0.18,0.12,0.12,0.09,0.08,0.13,0.14,0.12,0.1,0.14,0.18,0.05,0.03,0.06,0.11,0.16,0.05,0.08,0.16,0.17,0.17,0.15,0.16
,,,b,,cdefhi,defhi,efi,fi,,,cdefhi,efi,,,ai,aij,,,adij,,a,,,adegijl,ai,,,,a,fgh,fg,g,fgh,fgh,,,,c,ac,,,a,a,a,a,a
,Sites with revenge porn/intimate image abuse (sexual imagery of adults shared without consent),199,127,72,57,59,30,29,10,13,116,59,24,15,24,11,15,9,28,13,11,16,13,45,175,114,84,65,125,111,28,14,8,17,6,8,5,90,94,17,93,102,35,56,41,13
,,0.09,0.12,0.06,0.23,0.16,0.09,0.08,0.03,0.03,0.19,0.08,0.03,0.08,0.1,0.12,0.08,0.08,0.14,0.08,0.06,0.05,0.06,0.15,0.09,0.09,0.09,0.06,0.12,0.11,0.11,0.14,0.1,0.16,0.05,0.02,0.03,0.09,0.13,0.03,0.07,0.14,0.15,0.18,0.13,0.07
,,,b,,bcdefhi,cdefhi,efi,efi,,,cdefhi,efi,,,,hi,,,adhijl,,,,,abdghijl,i,,,,a,gh,gh,fgh,gh,fgh,,,,c,ac,,,af,af,abf,a,
,Websites encouraging eating disorders,194,104,91,48,50,43,29,13,12,98,72,25,14,22,12,14,9,19,10,19,20,13,42,172,127,68,62,125,106,31,13,9,13,7,6,10,94,86,17,101,89,26,35,32,20
,,0.09,0.1,0.08,0.2,0.13,0.12,0.07,0.04,0.02,0.16,0.1,0.03,0.07,0.09,0.13,0.08,0.08,0.1,0.06,0.1,0.07,0.06,0.14,0.09,0.1,0.07,0.06,0.12,0.11,0.12,0.13,0.1,0.12,0.06,0.02,0.06,0.1,0.12,0.03,0.07,0.12,0.11,0.12,0.11,0.11
,,,,,bcdefhi,defi,defi,efi,,,defhi,efi,,,,gi,,,,,,,,adgijl,,b,,,a,g,g,g,g,g,g,,g,c,c,,,a,a,a,a,a
,Very extreme/violence pornography,187,111,76,46,47,40,28,10,15,93,69,25,12,24,10,15,7,21,9,14,20,13,42,168,103,84,62,113,100,23,10,11,16,5,11,10,86,79,25,98,84,25,38,31,17
,,0.09,0.1,0.07,0.19,0.13,0.12,0.07,0.03,0.03,0.15,0.09,0.03,0.06,0.1,0.11,0.08,0.06,0.11,0.06,0.07,0.06,0.06,0.14,0.09,0.09,0.09,0.06,0.1,0.1,0.09,0.1,0.13,0.15,0.04,0.03,0.06,0.09,0.11,0.04,0.07,0.11,0.11,0.13,0.1,0.1
,,,b,,bcdefhi,defi,efi,efi,,,defhi,efi,,,,,,,,,,,,adeghijl,,,,,a,g,g,g,fg,fgh,,,,c,c,,,a,a,a,,
,Websites promoting suicide,156,74,83,28,46,34,23,9,16,74,58,25,11,15,7,6,8,18,13,13,12,9,44,137,95,61,53,98,82,22,4,9,12,6,8,12,78,58,22,87,68,25,26,27,12
,,0.07,0.07,0.07,0.11,0.12,0.1,0.06,0.03,0.03,0.12,0.08,0.03,0.06,0.06,0.08,0.03,0.07,0.09,0.08,0.07,0.04,0.04,0.15,0.07,0.08,0.06,0.05,0.09,0.08,0.08,0.04,0.11,0.12,0.05,0.02,0.07,0.08,0.08,0.04,0.06,0.09,0.11,0.09,0.09,0.07
,,,,,defi,defhi,efi,ei,,,defhi,efi,,,,,,,di,di,,,,abdefghijl,di,,,,a,g,g,,g,g,,,g,c,c,,,a,a,,,
,Computer generated images or cartoons of child sexual abuse,140,84,56,31,30,34,21,11,13,61,55,23,8,14,5,6,3,19,10,13,18,12,33,129,81,58,46,88,84,20,6,5,12,4,6,3,53,71,17,59,75,26,35,31,14
,,0.06,0.08,0.05,0.13,0.08,0.1,0.05,0.03,0.03,0.1,0.08,0.03,0.04,0.06,0.06,0.03,0.02,0.1,0.06,0.07,0.06,0.06,0.11,0.07,0.07,0.06,0.04,0.08,0.08,0.07,0.06,0.07,0.11,0.03,0.02,0.02,0.05,0.1,0.03,0.04,0.1,0.11,0.12,0.1,0.08
,,,b,,bdefhi,efi,defi,fi,,,defi,efi,,,,,,,ade,,,,,abdeil,d,,,,a,gh,gh,g,g,gh,,,,c,ac,,,a,a,a,a,a
