Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6a. Summary Table: Which of the following, if any, are you concerned about on behalf of your child/children aged 12 - 17?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 12 - 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,1,2.0,3,4.0,5.0,6.0,7,8.0,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Don't know,None of these,Not Ranked,NET: 1-3,NET: 1-23
,Concerned about child(ren),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emotional wellbeing and/or mental health,1032,98,84.0,70,47.0,34.0,29.0,13,20.0,10,8,12,11,6,7,7,4,3,4,4,3,2,4,3,17,54,477,252,484
,,,0.1,0.08,0.07,0.05,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,*%,*%,*%,*%,*%,*%,*%,0.02,0.05,0.46,0.24,0.47
,Social media use,1032,82,65.0,73,45.0,31.0,28.0,19,16.0,12,9,4,8,14,2,7,5,3,7,7,4,3,5,2,17,54,509,220,451
,,,0.08,0.06,0.07,0.04,0.03,0.03,0.02,0.02,0.01,0.01,*%,0.01,0.01,*%,0.01,*%,*%,0.01,0.01,*%,*%,*%,*%,0.02,0.05,0.49,0.21,0.44
,Excessive screen time,1032,84,69.0,66,37.0,24.0,21.0,19,18.0,11,19,11,9,8,8,3,6,5,4,7,9,5,2,4,17,54,513,219,448
,,,0.08,0.07,0.06,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,*%,0.01,*%,*%,0.01,0.01,*%,*%,*%,0.02,0.05,0.5,0.21,0.43
,Bullying,1032,66,85.0,62,35.0,40.0,20.0,19,20.0,18,16,7,16,6,8,7,3,9,3,9,5,2,1,0,17,54,502,214,459
