Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RELATIONSHIP_STATUS_1. Currently (i.e. 2022): Which of the following best describes your relationship status...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Single,3857,285,148,256,274,282,368,244,429,359,156,231,182,243,122,280,1756,927,428,291,260,195,2682,719,456,2082,666,834,143,132,3857,0,0,0,0
,,0.25,0.28,0.14,0.24,0.25,0.27,0.36,0.22,0.42,0.36,0.15,0.23,0.16,0.23,0.12,0.27,0.68,0.27,0.14,0.11,0.12,0.1,0.45,0.12,0.12,0.21,0.39,0.77,0.09,0.08,1,0,0,0,0
,,,bcgjklmn,,bjln,bjln,bgjklmn,abcdegjklmno,bjln,abcdefgijklmno,abcdegjklmno,n,bjln,n,bjln,,bgjklmn,bcdefghi,cdefhi,dfhi,,,,bcdefhi,df,,de,ade,abde,,,bcde,,,,
,Living as a couple/Co-habiting,2304,118,293,217,86,19,134,164,95,282,102,269,38,198,160,127,310,553,453,561,221,206,864,1014,427,1527,248,79,137,314,0,2304,2304,0,0
,,0.15,0.12,0.29,0.2,0.08,0.02,0.13,0.15,0.09,0.28,0.1,0.27,0.03,0.19,0.16,0.12,0.12,0.16,0.15,0.21,0.11,0.11,0.14,0.18,0.11,0.16,0.14,0.07,0.09,0.19,0,0.24,1,0,0
,,,del,acdefghjlmno,adefghjlno,el,,dehjl,adehjl,el,acdefghjlmno,el,acdefghjlmno,e,adefghjlo,adehjlo,dehl,,aefgi,aefi,abcefghi,,,aefi,acefgi,,cd,cd,,,abcd,,ade,abde,,
,Married / civil partnership,7461,458,514,547,666,635,433,502,435,274,485,462,818,439,437,356,397,1798,1896,1539,1061,770,2195,3435,1831,5238,507,90,636,990,0,7461,0,7461,0
,,0.47,0.45,0.5,0.51,0.6,0.6,0.42,0.45,0.43,0.27,0.48,0.46,0.71,0.41,0.43,0.34,0.15,0.52,0.62,0.57,0.51,0.41,0.36,0.6,0.46,0.54,0.29,0.08,0.4,0.61,0,0.76,0,1,0
,,,imo,afghikmno,afghikmno,abcfghijkmno,abcfghijkmno,io,io,io,,fhimno,imo,abcdefghijkmno,io,io,i,,afgi,abdefghi,abefgi,afgi,ag,a,abdefgi,afg,bcd,c,,bc,abcd,,ace,,abce,
,Separated,354,24,23,2,21,9,43,62,14,21,17,14,11,18,34,40,45,43,67,67,60,72,88,133,133,208,50,15,47,33,0,0,0,0,354
,,0.02,0.02,0.02,*%,0.02,0.01,0.04,0.06,0.01,0.02,0.02,0.01,0.01,0.02,0.03,0.04,0.02,0.01,0.02,0.02,0.03,0.04,0.01,0.02,0.03,0.02,0.03,0.01,0.03,0.02,0,0,0,0,0.18
,,,cel,cel,,c,c,abcdehijklm,abcdehijklmn,c,cel,c,c,c,c,cdehjklm,bcdehijklm,,,bg,bg,abg,abcdgh,,bg,abcdgh,,ac,,c,,,,,,abcd
,Divorced,871,68,21,19,7,54,9,65,11,26,103,19,73,112,132,150,16,54,130,173,251,247,70,303,498,396,131,16,267,61,0,0,0,0,871
,,0.06,0.07,0.02,0.02,0.01,0.05,0.01,0.06,0.01,0.03,0.1,0.02,0.06,0.11,0.13,0.14,0.01,0.02,0.04,0.06,0.12,0.13,0.01,0.05,0.13,0.04,0.08,0.01,0.17,0.04,0,0,0,0,0.45
,,,bcdfhik,df,d,,bcdfhik,,bcdfhik,,dfh,abcdefghikl,d,bcdfhik,abcdefghikl,abcdefghijkl,abcdefghijklm,,a,abg,abcg,abcdgh,abcdgh,a,abcg,abcdgh,c,ace,,abce,c,,,,,abcd
,Widowed,707,45,24,11,44,49,17,61,14,21,137,6,34,52,107,85,9,20,33,74,214,357,28,106,572,205,80,15,340,67,0,0,0,0,707
,,0.04,0.04,0.02,0.01,0.04,0.05,0.02,0.05,0.01,0.02,0.14,0.01,0.03,0.05,0.11,0.08,*%,0.01,0.01,0.03,0.1,0.19,*%,0.02,0.14,0.02,0.05,0.01,0.21,0.04,0,0,0,0,0.37
,,,bcfhik,ck,,bcfhik,bcfhikl,k,bcfhikl,,k,abcdefghiklmno,,cfhk,bcfhikl,abcdefghiklm,abcdefghiklm,,,abg,abcgh,abcdgh,abcdeghi,,abcg,abcdegh,,ac,,abce,ac,,,,,abcd
,Prefer not to say,169,10,2,15,9,12,18,12,19,24,11,11,4,5,16,4,52,34,31,19,16,17,86,50,33,46,42,30,17,34,0,0,0,0,0
,,0.01,0.01,*%,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,*%,*%,0.02,*%,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.02,0.03,0.01,0.02,0,0,0,0,0
,,,bl,,blmo,b,bl,blmo,bl,bdlmo,abdegjklmo,bl,bl,,,blmo,,bcdefghi,,,,,,bdehi,,,,ad,ad,a,ad,,,,,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
