<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2. What type of fraud were you a victim of?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Identity fraud - when someone uses your personal details fraudulently. They may then do things such as open new bank accounts or take out a loan in your name, or defraud other people.",416,208,208,44,70,86,83,61,72,13,38,44,22,37,18,35,32,44,45,24,63,31,29,20,31,24,13,16,17,287,127,336,29,19,24,8,25,391
,0.19,0.2,0.19,0.2,0.19,0.24,0.23,0.18,0.14,0.22,0.21,0.18,0.26,0.21,0.18,0.19,0.21,0.24,0.15,0.12,0.22,0.19,0.21,0.22,0.26,0.2,0.15,0.2,0.2,0.2,0.18,0.2,0.15,0.13,0.23,0.26,0.17,0.2
,,,,,, ef, f,,,, k,, jk, k,,, k, jk,,, jk,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scam texts - Criminals will contact you claiming to be from your bank, saying you need to update your personal details or that there's an issue. The text might contain a link, like a phishing scam, or a phone number to call. The phone number is fake and when you call the fraudsters will attempt to get you to reveal your details to later access and steal money from you.",405,175,229,79,107,84,46,42,48,8,32,49,13,30,14,37,33,25,52,38,73,36,30,21,20,26,18,12,15,276,127,276,47,41,31,9,34,371
,0.19,0.17,0.21,0.35,0.29,0.24,0.13,0.12,0.1,0.13,0.18,0.21,0.16,0.17,0.14,0.2,0.21,0.13,0.18,0.19,0.26,0.22,0.21,0.23,0.17,0.22,0.21,0.16,0.17,0.19,0.18,0.17,0.24,0.29,0.3,0.29,0.23,0.19
,,, a, cdef, def, def,,,,,, i,,,,,,,,, abefij,,,,,,,,,,,, a, a, a,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email phishing - when someone tries to get hold of your personal information by sending out e-mails usually containing a link to a bogus website.,310,135,176,47,75,55,47,40,46,4,28,37,12,26,14,28,18,22,45,24,51,26,24,10,14,19,12,12,14,217,93,227,30,28,17,8,23,287
,0.14,0.13,0.16,0.21,0.21,0.16,0.13,0.12,0.09,0.07,0.16,0.16,0.14,0.15,0.14,0.15,0.11,0.12,0.15,0.12,0.18,0.16,0.17,0.1,0.12,0.16,0.13,0.16,0.16,0.15,0.13,0.14,0.16,0.19,0.16,0.26,0.15,0.14
,,,, def, def, f,,,,,,,,,,,,,,, a,,,,,,,,,,,,,,, a,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phone phishing - this is phone call where the criminals pretend to be from your bank, building society or even a government agency. During the phone call, the fraudsters will attempt to get you to reveal your personal details, or even to transfer money out of your bank account.",307,127,177,54,77,49,42,42,43,4,24,34,10,23,11,30,12,21,38,33,65,27,19,11,12,18,15,8,6,219,86,203,40,30,27,7,32,275
,0.14,0.12,0.16,0.24,0.21,0.14,0.12,0.12,0.09,0.07,0.13,0.15,0.11,0.13,0.1,0.16,0.08,0.11,0.13,0.16,0.23,0.17,0.13,0.11,0.1,0.15,0.17,0.11,0.07,0.15,0.12,0.12,0.21,0.21,0.25,0.23,0.22,0.14
,,, a, cdef, cdef, f,,,,,, h,,,, h,,,, h, abcdefhij, h,,,,, h,,, b,,, a, a, a,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authorised Push Payment (APP) or bank transfer fraud - this involves a criminal convincing someone to transfer money from their bank, for what they believe is a legitimate reason. A common example is posing as their bank, claiming they need to transfer money to a 'safe account'.",303,144,158,39,68,60,42,38,57,16,28,36,13,18,23,24,21,27,32,19,46,22,18,12,19,8,17,18,11,208,94,232,38,16,13,4,34,268
,0.14,0.14,0.14,0.17,0.19,0.17,0.12,0.11,0.11,0.27,0.15,0.15,0.16,0.1,0.23,0.13,0.14,0.14,0.11,0.09,0.16,0.13,0.13,0.13,0.16,0.07,0.2,0.23,0.14,0.15,0.13,0.14,0.2,0.11,0.12,0.15,0.23,0.13
,,,, ef, def, def,,,, bceghijk,,,,, eghjk,,,,,, k,,,, e,, e, abce,,,,, ac,,,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment fraud - this often involves being contacted by a scammer out of the blue, offering you a chance to invest in a product or a scheme that doesn't exist.",287,169,118,38,83,48,29,33,57,6,20,33,17,18,12,31,25,13,25,21,65,26,27,18,8,12,7,9,10,209,78,169,45,50,19,4,35,252
,0.13,0.16,0.11,0.17,0.23,0.14,0.08,0.1,0.11,0.09,0.11,0.14,0.2,0.1,0.12,0.17,0.16,0.07,0.09,0.1,0.23,0.16,0.19,0.19,0.07,0.1,0.08,0.12,0.12,0.15,0.11,0.1,0.23,0.35,0.18,0.15,0.24,0.13
,, b,, def, cdef, d,,,,,, ij, beijk,,, ij, ij,,,, abcefijk, d, def, df,,,,,, b,,, a, abde, a,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Romance fraud - when you believe you've met a new partner through online dating, a dating app or via social media, and are in a genuine relationship. However, that person is a criminal using a fake profile and false identity to build a relationship with you. This is usually to get money or personal details, or for you to complete transactions on their behalf.",175,95,79,27,56,31,28,18,15,5,11,21,5,10,9,12,8,14,17,8,54,10,11,4,11,8,9,9,7,126,49,134,18,11,10,1,15,160
,0.08,0.09,0.07,0.12,0.15,0.09,0.08,0.05,0.03,0.09,0.06,0.09,0.06,0.06,0.09,0.07,0.05,0.08,0.06,0.04,0.19,0.06,0.08,0.05,0.1,0.07,0.1,0.12,0.09,0.09,0.07,0.08,0.1,0.08,0.1,0.03,0.1,0.08
,,,, ef, cdef, f, f,,,,,,,,,,,,,, bcdefghijk,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ticket fraud - when you buy tickets from a website or agent for an entertainment event or festival, but the tickets either don't arrive or turn out to be fake and you aren't refunded",172,89,83,34,59,33,21,17,9,8,18,19,6,14,8,16,12,9,16,7,41,12,13,9,5,10,5,8,7,132,40,111,18,24,16,3,12,161
