<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
P037330 - KA Fraud Victims ,,,,,,,,
Table 33,,,,,,,,
"Q10. Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements? SUMMARY",,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,
,I have struggled with alcohol misuse since being a victim of fraud,I have struggled with drug/illegal substances misuse since being a victim of fraud,I have struggled with self-care since being a victim of fraud,I trust people less since being a victim of fraud,I trust my gut instinct more since being a victim of fraud,I am warier of strangers since being a victim of fraud,I feel more confident in my ability to spot fraud since being a victim,Being a victim of fraud has made me more mindful of how I spend my money
Unweighted row,1335,1335,1335,1335,1335,1335,1335,1335
Total,1322,1322,1322,1322,1322,1322,1322,1322
,1,1,1,1,1,1,1,1
,,,,,,,,
Strongly agree (5.00),107,70,106,394,368,401,265,419
,0.08,0.05,0.08,0.3,0.28,0.3,0.2,0.32
,,,,,,,,
Agree (4.00),165,129,267,575,597,590,590,651
,0.12,0.1,0.2,0.44,0.45,0.45,0.45,0.49
,,,,,,,,
Neither agree nor disagree (3.00),126,108,165,185,229,210,321,163
,0.1,0.08,0.12,0.14,0.17,0.16,0.24,0.12
,,,,,,,,
Disagree (2.00),363,355,276,81,77,76,108,66
,0.27,0.27,0.21,0.06,0.06,0.06,0.08,0.05
,,,,,,,,
Strongly disagree (1.00),561,659,508,86,51,44,38,22
,0.42,0.5,0.38,0.07,0.04,0.03,0.03,0.02
NETS,,,,,,,,
,,,,,,,,
Agree/Strongly Agree,272,199,373,969,964,991,854,1070
,0.21,0.15,0.28,0.73,0.73,0.75,0.65,0.81
,,,,,,,,
Disagree/Strongly Disagree,923,1014,784,167,128,120,146,88
,0.7,0.77,0.59,0.13,0.1,0.09,0.11,0.07
Mean score,2.16,1.94,2.38,3.84,3.87,3.93,3.71,4.04
Standard deviation,1.312,1.203,1.375,1.116,1.007,0.994,0.971,0.889
,,,,,,,,
Prepared by Savanta,,,,,,,,
