Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,
,Table 61,,,,,,,,
,Q9_W3. Summary Table: How well do you think your local community is faring in each of the following areas?By 'local community' we mean the local area where you live.,,,,,,,,
,BASE: All respondents,,,,,,,,
,,,Scale,,,,,,
,,Total,Very well,Fairly well,Not very well,Not at all well,Don't know,NET: Well,NET: Not well
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g
,Access to green spaces,8976,2650,4509,1317,357,143,7159,1674
,,,0.3,0.5,0.15,0.04,0.02,0.8,0.19
,Community and public spaces,8976,1684,4737,1883,437,235,6421,2320
,,,0.19,0.53,0.21,0.05,0.03,0.72,0.26
,Overall quality of life,8976,1309,5015,1829,485,339,6324,2314
,,,0.15,0.56,0.2,0.05,0.04,0.7,0.26
,Education opportunities,8976,1352,4711,1720,470,723,6063,2190
,,,0.15,0.52,0.19,0.05,0.08,0.68,0.24
,Transport networks,8976,1667,4086,2022,1008,193,5753,3030
,,,0.19,0.46,0.23,0.11,0.02,0.64,0.34
,Health and wellbeing,8976,982,4683,2204,495,612,5665,2699
,,,0.11,0.52,0.25,0.06,0.07,0.63,0.3
,Access to a safe and attractive high street or shops,8976,1304,3757,2487,1226,201,5061,3714
,,,0.15,0.42,0.28,0.14,0.02,0.56,0.41
,Levels of crime and anti-social behaviour,8976,1154,3738,2468,1236,380,4892,3704
,,,0.13,0.42,0.27,0.14,0.04,0.55,0.41
,Job and employment prospects,8976,673,3433,3031,917,923,4106,3947
,,,0.07,0.38,0.34,0.1,0.1,0.46,0.44
,Availability of housing,8976,862,3214,2803,1475,622,4076,4278
,,,0.1,0.36,0.31,0.16,0.07,0.45,0.48
,Financial prosperity,8976,687,2989,3250,1158,892,3676,4408
,,,0.08,0.33,0.36,0.13,0.1,0.41,0.49
,"Columns Tested: a,b,c,d,e,f,g",,,,,,,,
,,,,,,,,,
,Prepared by Savanta,,,,,,,,
