<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q12. In what way(s) has being a victim of fraud impacted your mental health? If fraudsters have stolen money from you on more than one occasion, please consider how, collectively, being defrauded has had a negative impact on your mental health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,786,397,386,123,233,159,123,81,67,21,69,119,31,56,49,64,60,52,80,41,144,58,79,37,35,38,40,44,32,558,226,547,102,70,55,12,86,700
Total,763,382,378,121,219,147,118,79,77,23,55,100,33,57,37,73,53,54,80,54,144,66,67,33,36,38,33,33,26,541,220,529,101,69,53,11,86,677
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have increased anxiety,417,197,220,63,111,88,75,44,36,14,28,55,16,34,26,35,35,35,48,26,64,33,40,23,26,20,16,23,10,286,129,291,59,40,20,7,48,370
,0.55,0.52,0.58,0.52,0.51,0.6,0.64,0.56,0.47,0.63,0.51,0.55,0.49,0.61,0.69,0.48,0.65,0.65,0.6,0.49,0.45,0.5,0.59,0.71,0.71,0.53,0.47,0.68,0.41,0.53,0.59,0.55,0.58,0.59,0.38,0.63,0.55,0.55
,,,,,,, bf,,,,,,, l, bgkl,, l, l, l,,,,, afh, afh,,, h,,,, d, d, d,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have struggled with low self-esteem/confidence,386,200,185,67,110,81,62,36,29,10,26,52,20,35,21,38,30,29,35,22,67,36,35,19,18,26,17,20,14,277,107,260,61,33,27,6,51,335
,0.51,0.52,0.49,0.55,0.5,0.55,0.52,0.46,0.38,0.43,0.46,0.52,0.61,0.62,0.57,0.53,0.57,0.53,0.44,0.41,0.47,0.55,0.53,0.57,0.51,0.68,0.5,0.61,0.53,0.51,0.49,0.49,0.6,0.48,0.51,0.52,0.6,0.49
,,,, f,, f,,,,,,,, jk,,,,,,,,,,,,,,,,,,, a,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have experienced feelings of depression,365,187,177,49,116,66,57,39,38,11,22,53,19,25,17,31,29,23,41,23,71,27,38,19,15,16,16,17,10,259,105,252,54,27,28,5,43,322
,0.48,0.49,0.47,0.4,0.53,0.45,0.48,0.5,0.49,0.48,0.39,0.53,0.58,0.45,0.47,0.42,0.55,0.43,0.51,0.42,0.49,0.41,0.56,0.57,0.42,0.42,0.47,0.52,0.37,0.48,0.48,0.48,0.53,0.39,0.52,0.47,0.5,0.48
,,,,, a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I tend to isolate myself now, avoiding seeing friends and family because I am ashamed of what happened",180,81,99,28,64,38,22,17,13,4,10,27,7,14,10,22,14,15,10,8,39,17,16,10,12,8,11,10,6,140,40,123,19,24,13,2,17,164
,0.24,0.21,0.26,0.23,0.29,0.26,0.18,0.21,0.16,0.19,0.19,0.27,0.22,0.25,0.26,0.3,0.26,0.29,0.13,0.15,0.27,0.26,0.24,0.29,0.34,0.21,0.32,0.29,0.25,0.26,0.18,0.23,0.18,0.34,0.25,0.17,0.2,0.24
,,,,, df,,,,,,, j,,, j, j, j, j,,, j,,,,,,,,, b,,,, ab,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have experienced suicidal thoughts,142,91,50,23,60,26,16,7,8,3,10,12,4,12,7,12,7,8,9,12,47,12,9,5,4,10,2,7,6,106,35,105,18,7,11,1,14,127
,0.19,0.24,0.13,0.19,0.28,0.18,0.14,0.09,0.1,0.14,0.17,0.12,0.13,0.21,0.18,0.17,0.13,0.15,0.11,0.22,0.33,0.19,0.14,0.16,0.11,0.25,0.07,0.2,0.22,0.2,0.16,0.2,0.18,0.1,0.21,0.07,0.17,0.19
,, b,,, cdef,,,,,,,,,,,,,,,, bcdghij,,,,, f,,,,,, c,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,17,13,3,1,1,0,0,7,7,0,2,0,0,4,1,1,1,3,2,1,0,0,0,0,2,2,0,1,1,11,6,15,2,0,0,0,2,15
,0.02,0.03,0.01,0.01,0,0,0,0.09,0.09,0,0.03,0,0,0.08,0.04,0.02,0.02,0.06,0.03,0.02,0,0,0,0,0.06,0.06,0,0.02,0.03,0.02,0.03,0.03,0.02,0,0,0,0.02,0.02
