Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,BBC 5Live - December 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q1. Anti-social behaviour (ASB) is conduct that causes harassment, alarm or distress to a person. How often, if at all, are you experiencing or witnessing anti-social behaviour in your local area?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,,Social grade,,,,Education,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Non-graduates,Graduates
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b
,Unweighted Total,2300,1115,1172,272,362,322,366,466,509,634,688,975,34,169,259,112,226,138,229,166,189,336,165,277,1959,587,485,313,896,1167,1067
,Total,2300,1117,1172,252,393,364,402,336,525,645,766,861,69,194,257,94,187,112,198,163,198,312,214,301,1925,623,641,463,554,1090,1111
,Often,340,156,185,73,67,63,53,37,47,140,116,84,4,28,30,14,36,16,39,13,25,48,30,58,293,95,88,90,65,147,171
,,0.15,0.14,0.16,0.29,0.17,0.17,0.13,0.11,0.09,0.22,0.15,0.1,0.05,0.15,0.12,0.15,0.19,0.14,0.2,0.08,0.12,0.15,0.14,0.19,0.15,0.15,0.14,0.19,0.12,0.13,0.15
,,,,,bcdefghi,efi,efi,,,,defhi,efi,,,,,h,ach,,achi,,,h,,ach,h,d,,bd,,,
,Sometimes,753,360,383,78,145,145,137,110,127,224,283,236,24,64,96,30,60,36,58,64,49,99,57,117,629,223,208,164,149,360,369
,,0.33,0.32,0.33,0.31,0.37,0.4,0.34,0.33,0.24,0.35,0.37,0.27,0.35,0.33,0.37,0.32,0.32,0.33,0.29,0.39,0.25,0.32,0.26,0.39,0.33,0.36,0.32,0.35,0.27,0.33,0.33
,,,,,f,fi,aefi,fi,fi,,fi,fi,,,,ik,,,,,gik,,,,gikm,i,d,d,d,,,
,Rarely,802,409,392,68,126,106,153,125,225,194,258,350,30,69,87,34,49,33,70,60,82,108,94,86,671,198,248,154,197,381,396
,,0.35,0.37,0.33,0.27,0.32,0.29,0.38,0.37,0.43,0.3,0.34,0.41,0.43,0.35,0.34,0.37,0.26,0.29,0.35,0.37,0.41,0.35,0.44,0.29,0.35,0.32,0.39,0.33,0.36,0.35,0.36
,,,,,,,,acg,acg,abcgh,,a,abcgh,e,,,e,,,e,e,efl,e,cefjlm,,el,,a,,,,
,Never,327,168,158,20,39,38,54,60,116,59,92,175,12,31,36,11,21,25,27,22,40,50,30,22,259,93,82,43,110,172,150
,,0.14,0.15,0.14,0.08,0.1,0.11,0.13,0.18,0.22,0.09,0.12,0.2,0.17,0.16,0.14,0.12,0.11,0.22,0.14,0.13,0.2,0.16,0.14,0.07,0.13,0.15,0.13,0.09,0.2,0.16,0.13
,,,,,,,,ag,abcgh,abcdgh,,,abcdgh,,l,l,,,cdeghlm,l,l,elm,l,l,,l,c,,,abc,,
,Don't know,78,24,54,12,16,11,6,5,11,28,17,16,0,3,8,4,22,2,4,5,3,7,4,18,73,14,15,13,34,31,26
,,0.03,0.02,0.05,0.05,0.04,0.03,0.01,0.02,0.02,0.04,0.02,0.02,0,0.01,0.03,0.04,0.11,0.02,0.02,0.03,0.02,0.02,0.02,0.06,0.04,0.02,0.02,0.03,0.06,0.03,0.02
,,,,a,defhi,dei,,,,,defhi,,,,,,,abcdfghijklm,,,,,,,bfgijk,,,,,abc,,
,NET: Often/sometimes,1094,516,567,152,212,209,190,146,174,364,399,320,27,92,125,45,96,52,97,77,73,147,87,175,922,319,296,254,214,507,540
,,0.48,0.46,0.48,0.6,0.54,0.57,0.47,0.43,0.33,0.56,0.52,0.37,0.4,0.47,0.49,0.48,0.51,0.47,0.49,0.47,0.37,0.47,0.41,0.58,0.48,0.51,0.46,0.55,0.39,0.46,0.49
,,,,,defhi,efi,defi,fi,fi,,defi,efi,,,i,i,,ik,,i,,,i,,abcfghijkm,i,d,d,bd,,,
,NET: Rarely/never,1128,577,551,88,165,144,207,185,340,253,351,525,42,99,124,45,70,57,97,82,122,159,123,109,930,290,330,196,307,552,546
,,0.49,0.52,0.47,0.35,0.42,0.4,0.51,0.55,0.65,0.39,0.46,0.61,0.6,0.51,0.48,0.48,0.37,0.51,0.49,0.5,0.61,0.51,0.58,0.36,0.48,0.47,0.51,0.42,0.55,0.51,0.49
