Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,BBC 5Live - December 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q2. You mentioned that you have experienced or witnessed anti-social behaviour in your local area. Has this behaviour ever made you feel any of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents who have experienced or witnessed anti-social behaviour in their local area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,,Social grade,,,,Education,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Non-graduates,Graduates
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,*a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b
,Unweighted Total,1888,909,968,235,303,274,307,378,389,538,581,767,26,136,211,96,182,106,196,138,148,273,142,234,1620,487,415,278,691,943,889
,Total,1895,924,960,220,338,314,342,271,399,558,657,670,57,160,213,79,145,85,167,137,155,255,181,261,1593,516,544,408,411,887,935
,Angry/ annoyed,847,440,402,81,145,153,150,146,168,226,302,314,19,94,89,41,59,45,68,45,73,127,79,109,689,220,247,186,184,391,431
,,0.45,0.48,0.42,0.37,0.43,0.49,0.44,0.54,0.42,0.41,0.46,0.47,0.33,0.58,0.42,0.52,0.4,0.53,0.41,0.33,0.47,0.5,0.44,0.42,0.43,0.43,0.45,0.46,0.45,0.44,0.46
,,,b,,,,ag,,abdfghi,,,a,ag,,ceghiklm,,h,,eh,,,h,hm,,,h,,,,,,
,Unsafe walking alone in your area,562,200,355,96,124,99,101,63,73,220,200,136,17,31,58,19,44,27,51,45,37,75,49,109,487,165,166,125,97,245,286
,,0.3,0.22,0.37,0.44,0.37,0.31,0.29,0.23,0.18,0.39,0.3,0.2,0.3,0.19,0.27,0.24,0.31,0.32,0.31,0.33,0.24,0.29,0.27,0.42,0.31,0.32,0.31,0.31,0.24,0.28,0.31
,,,,a,cdefhi,efi,efi,fi,,,cdefhi,efi,,,,,,b,b,b,b,,b,,bcdegijkm,b,d,d,d,,,
,Frightened,337,124,206,62,85,59,60,37,29,146,119,66,17,26,24,12,29,20,37,26,18,42,31,54,274,104,98,78,53,112,197
,,0.18,0.13,0.22,0.28,0.25,0.19,0.17,0.14,0.07,0.26,0.18,0.1,0.29,0.16,0.11,0.16,0.2,0.24,0.22,0.19,0.12,0.17,0.17,0.21,0.17,0.2,0.18,0.19,0.13,0.13,0.21
,,,,a,cdefhi,defhi,fi,fi,f,,cdefhi,fi,,,,,,ci,ci,ci,c,,,,ci,c,d,d,d,,,a
,Unsafe in your home,232,98,134,41,61,47,37,25,21,102,84,46,2,17,18,7,30,8,29,17,12,35,11,47,206,72,58,65,32,95,124
,,0.12,0.11,0.14,0.19,0.18,0.15,0.11,0.09,0.05,0.18,0.13,0.07,0.03,0.1,0.09,0.09,0.21,0.09,0.17,0.13,0.08,0.14,0.06,0.18,0.13,0.14,0.11,0.16,0.08,0.11,0.13
,,,,a,defhi,defhi,efi,fi,f,,defhi,fi,,,,,,bcdfijkm,,cdik,,,k,,bcdfikm,k,d,,bd,,,
,Unable to leave the house,177,67,99,41,55,26,19,15,11,96,45,26,5,11,12,7,15,3,29,15,10,24,14,33,159,59,42,43,31,64,86
,,0.09,0.07,0.1,0.19,0.16,0.08,0.06,0.06,0.03,0.17,0.07,0.04,0.08,0.07,0.06,0.08,0.1,0.03,0.17,0.11,0.07,0.09,0.08,0.13,0.1,0.12,0.08,0.1,0.08,0.07,0.09
,,,,a,cdefhi,cdefhi,fi,,f,,cdefhi,fi,,,,,,f,,bcdfijkm,f,,,,cf,cf,d,,,,,
,Other,14,7,7,0,0,2,1,3,8,0,3,10,1,1,1,0,1,1,2,0,1,5,0,1,10,4,5,0,5,6,7
,,0.01,0.01,0.01,0,0,0.01,*%,0.01,0.02,0,0.01,0.02,0.02,0.01,*%,0,0.01,0.02,0.01,0,0.01,0.02,0,*%,0.01,0.01,0.01,0,0.01,0.01,0.01
,,,,,,,,,g,abgh,,,bg,,,,,,,,,,,,,,,,,,,
,None of the above,519,267,252,31,65,77,96,80,170,96,174,250,19,36,65,17,48,19,42,46,54,60,59,54,445,121,150,95,148,264,243
,,0.27,0.29,0.26,0.14,0.19,0.25,0.28,0.29,0.43,0.17,0.26,0.37,0.34,0.22,0.31,0.22,0.33,0.22,0.25,0.34,0.35,0.24,0.33,0.21,0.28,0.23,0.28,0.23,0.36,0.3,0.26
,,,,,,,ag,abg,abg,abcdegh,,abg,abcdegh,,,l,,bdfjl,,,bjl,bdfjl,,jl,,l,,,,abc,,
,Don't know,33,16,17,5,8,3,5,3,8,13,8,12,0,1,2,5,1,2,3,2,4,6,1,7,30,5,14,4,10,19,11
