Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Transport Podcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QTPW177Q4_1. The expansion of the Ultra-Low Emission Zone (ULEZ) in London: To what extent do you support or oppose each of the following proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,,Social grade,,,,2019 Past Vote,,,,,,,,,2016 EU Vote,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2100,971,1123,184,310,294,356,431,524,494,650,955,47,151,251,101,188,144,203,166,184,296,152,217,1758,480,452,271,897,651,531,114,37,39,54,11,38,434,793,695,477
,Total,2100,1019,1069,230,359,332,367,307,479,589,699,786,63,177,234,85,171,102,181,149,181,285,196,275,1758,573,590,426,510,629,522,115,27,38,62,8,50,465,713,719,532
,Strongly oppose,570,332,236,31,65,75,103,77,195,96,178,272,14,31,54,18,37,25,38,55,40,110,75,74,501,127,157,121,165,266,95,23,14,10,8,2,14,114,304,129,115
,,0.27,0.33,0.22,0.14,0.18,0.22,0.28,0.25,0.41,0.16,0.25,0.35,0.22,0.17,0.23,0.21,0.22,0.25,0.21,0.37,0.22,0.38,0.38,0.27,0.28,0.22,0.27,0.28,0.32,0.42,0.18,0.2,0.52,0.26,0.14,0.21,0.28,0.24,0.43,0.18,0.22
,,,b,,,,ag,abg,abg,abcdeghi,,abg,abcdegh,,,,,,,,bcdefgilm,,abcdefgilm,abcdefgilm,b,beg,,,,ab,bcefi,,,bcefhi,,,,,b,bc,,
,Tend to oppose,426,190,236,61,74,61,70,81,78,135,131,159,11,27,48,27,32,16,40,23,44,52,33,72,371,129,118,96,82,156,84,22,6,6,9,0,8,104,140,137,121
,,0.2,0.19,0.22,0.26,0.21,0.18,0.19,0.26,0.16,0.23,0.19,0.2,0.18,0.15,0.21,0.31,0.19,0.16,0.22,0.16,0.24,0.18,0.17,0.26,0.21,0.23,0.2,0.23,0.16,0.25,0.16,0.19,0.22,0.15,0.14,0,0.15,0.22,0.2,0.19,0.23
,,,,,cfh,,,,cdfhi,,f,,,,,,bcefhjkm,,,,,bh,,,bfhjk,,d,,d,,b,,,,,,,,b,,,
,Tend to support,424,218,204,60,87,79,73,52,74,147,152,126,17,49,41,14,24,22,38,36,35,53,41,54,336,133,107,82,103,77,132,37,2,10,13,2,10,98,106,173,128
,,0.2,0.21,0.19,0.26,0.24,0.24,0.2,0.17,0.15,0.25,0.22,0.16,0.26,0.28,0.18,0.16,0.14,0.22,0.21,0.24,0.2,0.18,0.21,0.2,0.19,0.23,0.18,0.19,0.2,0.12,0.25,0.32,0.06,0.26,0.21,0.26,0.21,0.21,0.15,0.24,0.24
,,,,,efi,efi,efi,,,,efi,fi,,e,cdejm,,,,,,e,,,,,,,,,,,ad,adi,,ad,d,,,ad,,a,a
,Strongly support,273,157,113,35,61,50,46,30,51,96,96,81,7,31,25,13,28,9,25,16,21,41,19,37,225,89,87,54,43,55,98,20,1,9,13,0,7,49,69,125,65
,,0.13,0.15,0.11,0.15,0.17,0.15,0.13,0.1,0.11,0.16,0.14,0.1,0.11,0.18,0.1,0.16,0.16,0.09,0.14,0.11,0.12,0.14,0.1,0.14,0.13,0.16,0.15,0.13,0.08,0.09,0.19,0.18,0.05,0.24,0.22,0,0.14,0.11,0.1,0.17,0.12
,,,b,,,efi,ei,,,,efi,i,,,cfk,,,f,,,,,,,,,d,d,d,,,adi,ai,,adi,adi,,,,,ac,
,Don't know,407,123,280,44,72,68,75,67,82,116,143,148,14,39,66,14,51,29,40,18,40,31,27,37,324,94,121,74,118,74,113,13,4,3,18,4,11,99,93,155,103
,,0.19,0.12,0.26,0.19,0.2,0.2,0.2,0.22,0.17,0.2,0.2,0.19,0.22,0.22,0.28,0.16,0.3,0.29,0.22,0.12,0.22,0.11,0.14,0.14,0.18,0.16,0.2,0.17,0.23,0.12,0.22,0.11,0.15,0.09,0.29,0.54,0.22,0.21,0.13,0.22,0.19
,,,,a,,,,,,,,,,j,hjl,dhjklm,,dhjklm,dhjklm,hjl,,hjl,,,,j,,,,ac,,ac,,,,ace,,,ac,,a,a
,Sum: Support,697,374,318,95,148,129,119,82,125,243,248,207,24,81,66,27,52,31,63,52,56,93,61,92,562,222,194,135,145,133,230,57,3,19,27,2,18,148,175,298,193
,,0.33,0.37,0.3,0.41,0.41,0.39,0.32,0.27,0.26,0.41,0.35,0.26,0.38,0.45,0.28,0.31,0.3,0.31,0.35,0.35,0.31,0.33,0.31,0.33,0.32,0.39,0.33,0.32,0.28,0.21,0.44,0.5,0.1,0.5,0.43,0.26,0.35,0.32,0.25,0.41,0.36
,,,b,,defi,defi,efi,fi,,,defhi,efi,,,cdefgijklm,,,,,,,,,,,,d,,,,,adi,adi,,adi,ad,,ad,ad,,a,a
,Sum: Oppose,996,522,472,92,139,135,174,158,273,231,309,431,25,57,102,45,69,41,78,78,85,161,108,146,872,257,275,217,247,422,180,45,20,15,17,2,22,218,445,266,236
,,0.47,0.51,0.44,0.4,0.39,0.41,0.47,0.51,0.57,0.39,0.44,0.55,0.4,0.32,0.44,0.53,0.4,0.41,0.43,0.52,0.47,0.57,0.55,0.53,0.5,0.45,0.47,0.51,0.48,0.67,0.34,0.39,0.75,0.41,0.28,0.21,0.43,0.47,0.62,0.37,0.44
,,,b,,,,,bg,abcgh,abcdgh,,,abcdgh,,,b,be,,,b,bef,b,abcefgim,bcefg,bcefg,bef,,,,,bcefhi,,,bcefhi,,,,,bf,bc,,b
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b,c,d,e,f,g,h,i - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
