Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26. Summary: Rank 1-3 - Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Cost of living,3743,1877,1845,452,662,648,624,564,793,1114,1272,1356,1308,2435,818,1262,782,547,333,2081,1662,2111,1596,3149,63,323,136,59,2407,1291,746,626,3403,274,2295,1291,2725,965,1844,545,737,562,1441,2195,1402,2073,1525
,,0.42,0.43,0.4,0.39,0.45,0.45,0.43,0.4,0.39,0.42,0.44,0.39,0.42,0.41,0.41,0.43,0.43,0.4,0.4,0.42,0.41,0.41,0.42,0.41,0.38,0.45,0.45,0.37,0.42,0.41,0.42,0.4,0.42,0.39,0.42,0.41,0.42,0.41,0.41,0.39,0.41,0.44,0.43,0.42,0.42,0.42,0.42
,,,b,,,aefi,aefgi,afi,,,,aefi,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,b,b,,,,
,Rent prices,2816,1411,1391,305,465,423,469,476,678,770,892,1154,921,1895,622,887,606,465,236,1509,1307,1616,1181,2408,53,218,85,44,1836,952,498,464,2540,232,1739,986,2044,745,1371,452,534,385,1088,1656,1066,1529,1193
,,0.31,0.33,0.3,0.26,0.31,0.3,0.32,0.34,0.33,0.29,0.31,0.34,0.3,0.32,0.31,0.3,0.33,0.34,0.28,0.3,0.33,0.32,0.31,0.32,0.32,0.31,0.28,0.27,0.32,0.3,0.28,0.3,0.31,0.33,0.32,0.32,0.32,0.31,0.31,0.32,0.3,0.3,0.32,0.31,0.32,0.31,0.33
,,,b,,,a,a,ag,acgh,acg,,a,acgh,,a,,,bef,bef,,,bef,,,,,,,,c,,,,,,,,,,,,,,,,,,a
,Getting on the housing ladder,2732,1396,1325,218,350,354,439,517,854,568,793,1371,748,1984,664,973,530,383,181,1637,1095,1601,1119,2525,32,101,49,19,1845,862,402,482,2515,187,1759,889,2028,677,1263,404,509,349,1099,1661,996,1366,1276
