Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26.98. Other: Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,1,20,11,9,0,2,5,4,1,8,2,8,9,9,11,5,8,1,1,4,13,7,5,13,20,0,0,0,0,12,8,6,6,19,0,9,11,11,9,9,1,6,1,8,7,13,3,17
,,*%,*%,*%,0,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,0,0,0,0,*%,*%,*%,*%,*%,0,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%
,,,,,,,,,,g,,,,,,,,,,c,,,,a,,,,,,,,,,,,,,,,,,,,,,a,,a
,2,6,4,2,0,*,0,0,3,3,*,0,5,0,6,1,2,1,1,0,3,2,2,4,6,0,0,0,0,6,0,0,0,6,0,4,2,2,4,*,0,*,0,5,1,4,0,6
,,*%,*%,*%,0,*%,0,0,*%,*%,*%,0,*%,0,*%,*%,*%,*%,*%,0,*%,*%,*%,*%,*%,0,0,0,0,*%,0,0,0,*%,0,*%,*%,*%,*%,*%,0,*%,0,*%,*%,*%,0,*%
,,,,,,,,,gh,h,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,a,,,,a
,3,5,4,1,0,0,0,1,1,4,0,1,4,2,3,1,1,3,0,0,2,3,3,2,4,1,0,0,0,2,3,3,1,5,0,4,1,4,1,2,2,0,0,1,4,1,0,5
,,*%,*%,*%,0,0,0,*%,*%,*%,0,*%,*%,*%,*%,*%,*%,*%,0,0,*%,*%,*%,*%,*%,*%,0,0,0,*%,*%,*%,*%,*%,0,*%,*%,*%,*%,*%,*%,0,0,*%,*%,*%,0,*%
,,,,,,,,,,gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a
,4,4,4,0,0,0,0,3,1,0,0,3,1,2,3,0,3,1,0,0,3,1,1,3,4,0,0,0,0,2,3,3,2,4,0,3,2,4,0,0,0,0,0,3,1,3,3,2
,,*%,*%,0,0,0,0,*%,*%,0,0,*%,*%,*%,*%,0,*%,*%,0,0,*%,*%,*%,*%,*%,0,0,0,0,*%,*%,*%,*%,*%,0,*%,*%,*%,0,0,0,0,0,*%,*%,*%,*%,*%
,,,b,,,,,cg,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,
,5,7,4,2,0,0,0,0,1,6,0,0,7,2,4,3,4,0,0,0,7,0,3,3,7,0,0,0,0,7,0,0,0,7,0,2,1,2,1,0,0,0,0,5,0,5,1,6
,,*%,*%,*%,0,0,0,0,*%,*%,0,0,*%,*%,*%,*%,*%,0,0,0,*%,0,*%,*%,*%,0,0,0,0,*%,0,0,0,*%,0,*%,*%,*%,*%,0,0,0,0,*%,0,*%,*%,*%
,,,,,,,,,,bcdgh,,,gh,,,g,g,,,,g,,,,,,,,,,,,,,,,,,,,,,,a,,a,,a
,6,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0
,,*%,*%,0,0,0,*%,0,0,0,0,*%,0,0,*%,0,0,0,0,*%,0,*%,*%,0,*%,0,0,0,0,0,*%,*%,*%,*%,0,0,*%,0,*%,*%,*%,0,0,0,*%,0,*%,0
,7,3,1,2,0,0,0,2,1,0,0,2,1,1,2,*,0,3,0,0,*,3,3,0,3,0,0,0,0,3,0,0,0,2,0,3,0,2,1,0,0,0,0,3,0,3,2,1
,,*%,*%,*%,0,0,0,*%,*%,0,0,*%,*%,*%,*%,*%,0,*%,0,0,*%,*%,*%,0,*%,0,0,0,0,*%,0,0,0,*%,0,*%,0,*%,*%,0,0,0,0,*%,0,*%,*%,*%
,,,,,,,,,,,,,,,,,,bf,,,,,,,,,,,,,,,,,,,,,,,,,,a,,a,,
