Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 173,,,,,,,,,
,"Q29. Summary Table: To what extent, if at all, do you think that climate change will influence the following decisions in your future?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,A lot,A little,Not a lot,No influence at all,Not applicable,Don't know,NET: A lot/little,NET: Not a lot/at all
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,What you buy,8976,1937,3379,1705,1582,152,221,5315,3287
,,,0.22,0.38,0.19,0.18,0.02,0.02,0.59,0.37
,How you travel,8976,2242,2983,1689,1570,267,225,5225,3259
,,,0.25,0.33,0.19,0.17,0.03,0.03,0.58,0.36
,What you eat,8976,1695,3166,1896,1821,161,237,4861,3716
,,,0.19,0.35,0.21,0.2,0.02,0.03,0.54,0.41
,Where you live,8976,1391,2312,2216,2372,372,312,3703,4588
,,,0.16,0.26,0.25,0.26,0.04,0.03,0.41,0.51
,Whether you have children,8976,1070,1216,1225,2150,3077,238,2286,3375
,,,0.12,0.14,0.14,0.24,0.34,0.03,0.25,0.38
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
