Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Transport Podcast,,,,,,,,,,,
,Table 15,,,,,,,,,,,
,"QTPW177Q5. SUMMARY : Thinking about each of the following, how would it impact your attitude towards the party that you felt was responsible?",,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,
,,Options,,,,,,,,,,
,,The expansion of the Ultra-Low Emission Zone (ULEZ) in London,The introduction of a default 20 mph speed limit on roads in Wales,"Proposals to scrap the northern leg of the HS2 rail line to Manchester, and the HS2 connection to Euston",Ongoing strike action by rail staff,"The proposed closure of most railway ticket offices, with staff moving to platforms and concourses","Recent disruption to air traffic control, resulting in large numbers of flight cancellations",Delaying the ban on the sale of new diesel and petrol vehicles from 2030 to 2035,Delaying the ban on new fossil fuel boilers for off-grid homes from 2026 to 2035,"Increasing the government grant for installing a heat pump from £5,000 to £7,500",Removing the requirement for all rented properties to be energy efficient (have an EPC 'C' rating) by 2025,None of these
,Significance Level: 95%,a,b,c,d,e,*f,g,h,i,j,*k
,Unweighted Total,2100,2100,2100,2100,2100,0,2100,2100,2100,2100,0
,Total,2100,2100,2100,2100,2100,0,2100,2100,2100,2100,0
,Would stop me voting for the party that was responsible,456,406,352,433,510,0,375,332,224,358,0
,,0.22,0.19,0.17,0.21,0.24,0,0.18,0.16,0.11,0.17,0
,,cghij,chi,i,cghij,bcdghij,,i,i,,i,
,"I'd still vote for the party that was responsible, but would feel more negatively towards them",409,397,363,385,462,0,369,391,268,435,0
,,0.19,0.19,0.17,0.18,0.22,0,0.18,0.19,0.13,0.21,0
,,i,i,i,i,abcdghi,,i,i,,cgi,
,"I'd still vote for the party that was responsible, and my view of them wouldn't change",444,477,484,513,465,0,531,519,572,487,0
,,0.21,0.23,0.23,0.24,0.22,0,0.25,0.25,0.27,0.23,0
,,,,,a,,,ae,ae,abcdej,,
,"I'd still vote for the party that was responsible, and would feel more positively towards them",231,237,238,184,123,0,317,265,380,201,0
,,0.11,0.11,0.11,0.09,0.06,0,0.15,0.13,0.18,0.1,0
,,de,de,de,e,,,abcdehj,dej,abcdeghj,e,
,Don't know,560,583,662,584,540,0,508,593,656,619,0
,,0.27,0.28,0.32,0.28,0.26,0,0.24,0.28,0.31,0.29,0
,,,g,abdegh,g,,,,g,abdegh,aeg,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k",,,,,,,,,,,
,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,
