Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,JRF - Low Income Households - Wave 4,,,,,,,,,,,,,,
,Table 41,,,,,,,,,,,,,,
,Q9b. You mentioned that your household has the following kinds of lending (an agreement where your household has borrowed money). How much is the total amount of each debt that your household currently owes?,,,,,,,,,,,,,,
,BASE: All those who have debts,,,,,,,,,,,,,,
,,Type of debt,,,,,,,,,,,,,
,,Personal loan from a bank/building society,Personal loan from a payday lender,Buy now pay later / hire purchase,Overdraft (amount you use not max limit),Credit card (amount owed that you can't repay at the end of the month - not the maximum limit),Money borrowed from family or friends,Universal credit advance payment,"Benefit or tax credit overpayments (eg. repaying child tax credit, working tax credit, Universal Credit or housing overpayments)","Personal loan from an unlicensed lender (i.e. a lender providing short term loans at a high cost - sometimes known as a loan shark). This excludes loans from lenders such as banks, authorised doorstep lenders or payday lenders.",Personal loan from an authorised doorstep lender or home credit lender (where you borrow money and the lender calls at your home to collect the repayments),"Loans where personal owned items are put up as collateral in exchange for cash (eg. pawn brokers, cash converters, log book loans)",DWP (Department of Work and Pensions) budgeting advance or budgeting loan,Personal loan from a credit union,Catalogue credit
,Significance Level: 95%,a,b,c,d,e,f,g,h,i,j,k,l,m,n
,Unweighted Total,892,640,1159,1147,1482,1094,314,636,607,626,624,599,654,898
,Total,847,588,1097,1089,1429,1013,288,582,555,579,577,548,597,844
,Less than £50,56,70,122,124,110,123,26,64,67,66,77,49,54,86
,,0.07,0.12,0.11,0.11,0.08,0.12,0.09,0.11,0.12,0.11,0.13,0.09,0.09,0.1
,,,ae,ae,ae,,aelm,,ae,ae,ae,aeglm,,,ae
,£50 - £99,79,81,160,123,128,118,41,78,79,95,74,87,82,100
,,0.09,0.14,0.15,0.11,0.09,0.12,0.14,0.13,0.14,0.16,0.13,0.16,0.14,0.12
,,,ae,adef,,,e,ae,ae,ae,adefn,ae,adefn,ae,e
,£100 - £149,75,85,154,124,125,152,35,86,87,83,90,74,85,123
,,0.09,0.14,0.14,0.11,0.09,0.15,0.12,0.15,0.16,0.14,0.16,0.13,0.14,0.15
,,,ae,ae,e,,ade,,ade,ade,ae,ade,ae,ae,ade
,£150 - £199,82,81,123,117,113,101,38,71,83,94,83,67,81,101
,,0.1,0.14,0.11,0.11,0.08,0.1,0.13,0.12,0.15,0.16,0.14,0.12,0.14,0.12
,,,aef,e,e,,,e,e,acdef,acdefhln,adef,e,aef,e
,£200 - £249,69,67,116,110,95,92,27,57,61,53,75,66,60,92
,,0.08,0.11,0.11,0.1,0.07,0.09,0.1,0.1,0.11,0.09,0.13,0.12,0.1,0.11
,,,ae,e,e,,e,,e,e,e,aefj,ae,e,e
,£250 - £499,50,57,117,122,121,89,49,45,49,42,41,76,51,100
,,0.06,0.1,0.11,0.11,0.08,0.09,0.17,0.08,0.09,0.07,0.07,0.14,0.09,0.12
,,,a,ahjk,aehjk,a,a,abcdefhijkmn,,a,,,abcefhijkm,a,aefhjkm
,£500 - £749,39,39,82,88,114,71,29,33,22,36,34,35,44,71
,,0.05,0.07,0.07,0.08,0.08,0.07,0.1,0.06,0.04,0.06,0.06,0.06,0.07,0.08
,,,i,ai,ai,ai,ai,ahijk,,,,,,ai,ahi
,£750 - £999,36,23,52,71,71,37,18,27,22,25,23,29,25,36
,,0.04,0.04,0.05,0.07,0.05,0.04,0.06,0.05,0.04,0.04,0.04,0.05,0.04,0.04
,,,,,abfikmn,,,f,,,,,,,
,"£1,000 - £1,499",57,24,49,64,127,73,12,36,19,19,17,19,29,48
,,0.07,0.04,0.04,0.06,0.09,0.07,0.04,0.06,0.03,0.03,0.03,0.03,0.05,0.06
,,bcijkl,,,ijkl,bcdghijklmn,bcgijklm,,ijkl,,,,,,ijkl
,"£1,500 - £1,999",37,9,27,45,72,23,3,20,14,8,10,6,15,26
,,0.04,0.02,0.02,0.04,0.05,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.03
,,bcfgijklm,,l,bcfgjkl,bcfgijklmn,,,bgjl,,,,,,gjl
,"£2,000 - £2,499",36,12,22,26,65,27,1,10,8,12,5,6,14,19
,,0.04,0.02,0.02,0.02,0.05,0.03,*%,0.02,0.01,0.02,0.01,0.01,0.02,0.02
,,bcdghijklmn,g,g,gk,bcdfghijklmn,gkl,,g,,g,,,g,g
,"£2,500 - £2,999",22,10,12,13,43,13,1,7,10,5,12,4,6,7
,,0.03,0.02,0.01,0.01,0.03,0.01,*%,0.01,0.02,0.01,0.02,0.01,0.01,0.01
,,cdfgjlmn,,,,cdfghjlmn,,,,g,,gln,,,
,"£3,000 - £3,449",22,2,9,13,45,16,1,4,8,10,4,7,6,11
,,0.03,*%,0.01,0.01,0.03,0.02,*%,0.01,0.01,0.02,0.01,0.01,0.01,0.01
,,bcdghkm,,,,bcdfghiklmn,b,,,,b,,,,
,"£3,500 - £3,999",16,1,4,10,30,7,1,6,3,7,2,2,6,2
,,0.02,*%,*%,0.01,0.02,0.01,*%,0.01,0.01,0.01,*%,*%,0.01,*%
,,bcdfgikln,,,bn,bcdfgikln,,,bcn,,bcn,,,b,
,"£4,000 or more",139,11,30,15,136,57,2,12,8,11,6,3,15,3
,,0.16,0.02,0.03,0.01,0.1,0.06,0.01,0.02,0.01,0.02,0.01,0.01,0.02,*%
,,bcdefghijklmn,ln,dgkln,n,bcdfghijklmn,bcdghijklmn,,ln,n,ln,,,gln,
,Don't know,32,17,18,25,33,13,7,26,16,13,23,19,25,19
