Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,JRF - Low Income Households - Wave 4,,,,,,,,,,,,,,,,,,,
,Table 87,,,,,,,,,,,,,,,,,,,
,"Q13c. The cost of living has recently increased, seeing a rise in overall costs (such as food, utilities and household expenses). Which, if any, of the following best describes how you've approached the rising cost of living so far?",,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Tried to earn more money e.g., by working more hours or finding more/different work","Taken on new borrowing or used a credit card to pay for essential bills such as rent, energy, council tax",Reduced spending on transport due to cost,Reduced spending on food for adults due to cost,Reduced spending on food for children due to cost,Changed the type of food your household buys due to cost (e.g. consuming less fresh produce or more processed foods),Changed the way you cook (eg. to consume less cooking appliance energy) due to cost,Used appliances less often to reduce cost,Heated my home less than I needed to / less often to reduce cost,Reduced number of showers or baths taken in my house due to energy cost,Have not replaced broken items due to cost,Have not replaced clothing that is outgrown or worn due to cost,"Reduced spending on gifts for family, due to cost",Used savings,I have stopped some or all insurance payments,Reduced or stopped pension contributions from my salary,Sold personal or household belongings,Used a warm bank (a dedicated warm public space for people to spend time to save costs on heating their home),Stopped or reduced socialising with friends and family due to cost
,Significance Level: 95%,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
,Unweighted Total,4004,4004,4004,4004,1527,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004
,Total,4004,4004,4004,4004,1411,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004,4004
,Have been doing this since before six months ago (November 2022),749,442,1181,1230,300,1255,1381,1588,1681,1169,910,1145,1285,1133,456,383,740,332,1283
,,0.19,0.11,0.29,0.31,0.21,0.31,0.34,0.4,0.42,0.29,0.23,0.29,0.32,0.28,0.11,0.1,0.18,0.08,0.32
,,bopr,pr,abekopqr,abeklnopqr,abopqr,abejklnopqr,abcdefjklmnopqrs,abcdefgjklmnopqrs,abcdefghjklmnopqrs,abekopqr,abopqr,abekopqr,abcejklnopqr,abekopqr,pr,r,bopr,,abcejklnopqr
,Tried this in the last six months (since November 2022),646,358,771,874,286,861,931,1007,1045,798,631,699,849,682,379,322,542,321,803
,,0.16,0.09,0.19,0.22,0.2,0.21,0.23,0.25,0.26,0.2,0.16,0.17,0.21,0.17,0.09,0.08,0.14,0.08,0.2
,,bopqr,,abklnopqr,abcjklnopqrs,abklnopqr,abcklnopqr,abcejklmnopqrs,abcdefgjklmnopqrs,abcdefgjklmnopqrs,abklnopqr,bopqr,bkopqr,abcklnopqr,bopqr,pr,,bopr,,abklnopqr
,Planning to do this in the upcoming month(s),427,274,352,362,158,330,355,353,340,328,356,411,471,438,299,258,416,269,374
,,0.11,0.07,0.09,0.09,0.11,0.08,0.09,0.09,0.08,0.08,0.09,0.1,0.12,0.11,0.07,0.06,0.1,0.07,0.09
,,bcdfghijkoprs,,bopr,bopr,bcdfghijkoprs,bpr,bopr,bopr,bpr,bpr,bopr,bcfghijkopr,bcdfghijklopqrs,bcdfghijkoprs,,,bcdfghijkopr,,bopr
,"Not done so far, nor are we planning to do this",1652,2335,1352,1266,539,1304,1077,809,743,1416,1688,1429,1112,1317,2224,2051,1867,2084,1258
,,0.41,0.58,0.34,0.32,0.38,0.33,0.27,0.2,0.19,0.35,0.42,0.36,0.28,0.33,0.56,0.51,0.47,0.52,0.31
,,cdefghijlmns,acdefghijklmnopqrs,dghims,ghim,cdfghijmns,ghim,hi,,,dfghimns,cdefghijlmns,dfghimns,hi,ghim,acdefghijklmnpqrs,acdefghijklmnqs,acdefghijklmns,acdefghijklmnqs,ghim
,Not aware of this option,362,442,221,180,88,163,178,159,131,207,274,222,185,286,459,732,315,864,188
,,0.09,0.11,0.06,0.04,0.06,0.04,0.04,0.04,0.03,0.05,0.07,0.06,0.05,0.07,0.11,0.18,0.08,0.22,0.05
,,cdefghijklmns,acdefghijklmnqs,dfghi,i,dfghims,,i,,,fhi,cdfghijlms,dfghi,i,cdfghijlms,acdefghijklmnqs,abcdefghijklmnoqs,cdefghijlms,abcdefghijklmnopqs,i
,Don't know,167,152,127,91,40,91,83,89,64,87,146,98,101,148,187,259,123,134,98
,,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.03,0.04,0.05,0.06,0.03,0.03,0.02
,,cdefghijlmqrs,dfghijlms,dfghijl,i,i,i,,i,,,dfghijlms,i,i,dfghijlms,cdefghijklmnqrs,abcdefghijklmnoqrs,dfghij,dfghijlms,i
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,
