Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,JRF - Low Income Households - Wave 4,,,,,
,Table 116,,,,,
,"Q4W4. You mentioned that you or members of your household have experienced the following over the last 2 years. For each of the following, please tell us whether this is a new experience or not.",,,,,
,BASE: All respondents who have been negatively impacted by the cost of living crisis,,,,,
,,,Options,,,
,,Total,"I/we were experiencing this before the last two years, but it has improved","I/we were already experiencing this before the last two years, and it has stayed about the same","I/we were already experiencing this before the last two years, and it has worsened",This is a new experience for me/us in the last two years
,Significance Level: 95%,,*a,*b,*c,*d
,Unweighted Total,0,0,0,0,0
,Poor mental health (e.g. feeling anxious or depressed),1389,185,286,554,364
,,,0.13,0.21,0.4,0.26
,Poor physical health (e.g. new illnesses or making an existing condition worse),780,93,139,337,211
,,,0.12,0.18,0.43,0.27
,Worry about affording the essentials (e.g. food and energy),1613,170,284,390,770
,,,0.11,0.18,0.24,0.48
,Reduced socialising with family and friends due to cost,1573,158,319,340,757
,,,0.1,0.2,0.22,0.48
,"Reduced access to hygiene products (e.g. soap, dental hygiene, shampoo) due to cost",356,55,80,85,137
,,,0.15,0.22,0.24,0.38
,Damp or cold housing due to energy costs,945,76,190,241,438
,,,0.08,0.2,0.26,0.46
,Damp or cold housing due to poor quality housing,503,76,144,151,133
,,,0.15,0.29,0.3,0.26
,Poor diet (e.g. eating less nutritional meals) due to food and/or energy costs,934,109,182,249,395
,,,0.12,0.19,0.27,0.42
,Loss of sleep (e.g. difficulty getting or staying asleep),1342,137,342,473,390
,,,0.1,0.26,0.35,0.29
,Oversleeping (e.g. sleeping more than 9 hours a night or excessive napping during the day),606,95,156,171,185
,,,0.16,0.26,0.28,0.3
,Other (please specify),15,2,1,3,10
,,,0.1,0.05,0.2,0.65
,Don't know,0,0,0,0,0
,,,0,0,0,0
,None of the above,0,0,0,0,0
,,,0,0,0,0
,"Columns Tested: a,b,c,d",,,,,
,,,,,,
,Prepared by Savanta,,,,,
