Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,
,Table 24,,,,,,,,,,,,
,"Q7_W3. Summary Table: Thinking about what would benefit your local community, which of the following areas related to the physical environment do you think are most important?By 'local community' we mean the local area where you live.",,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,
,,,Rank,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-7
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k
,Safety on the streets,6241,1991,1061,733,442,275,202,164,1991,3785,4502,4867
,,,0.32,0.17,0.12,0.07,0.04,0.03,0.03,0.32,0.61,0.72,0.78
,Young people having places to go and things to do,6241,893,1019,774,576,513,399,298,893,2686,3775,4473
,,,0.14,0.16,0.12,0.09,0.08,0.06,0.05,0.14,0.43,0.6,0.72
,Keeping the area looking nice,6241,821,1013,794,488,465,404,458,821,2629,3582,4444
,,,0.13,0.16,0.13,0.08,0.07,0.06,0.07,0.13,0.42,0.57,0.71
,"Having access to natural, green spaces",6241,882,904,705,584,448,380,338,882,2490,3522,4240
,,,0.14,0.14,0.11,0.09,0.07,0.06,0.05,0.14,0.4,0.56,0.68
,Community activities that bring people together,6241,777,708,665,541,492,509,468,777,2150,3183,4159
,,,0.12,0.11,0.11,0.09,0.08,0.08,0.07,0.12,0.34,0.51,0.67
,Providing welcoming communal spaces,6241,404,571,583,606,609,605,419,404,1557,2772,3797
,,,0.06,0.09,0.09,0.1,0.1,0.1,0.07,0.06,0.25,0.44,0.61
,Plenty of sports facilities and clubs for people to join,6241,364,457,484,467,534,624,813,364,1305,2306,3743
,,,0.06,0.07,0.08,0.07,0.09,0.1,0.13,0.06,0.21,0.37,0.6
,Other,6241,19,5,2,5,0,4,1,19,26,31,36
,,,*%,*%,*%,*%,0,*%,*%,*%,*%,*%,0.01
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k",,,,,,,,,,,,
,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,
