Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,
,Table 4,,,,,,,,,,,,
,"Q4a. Summary Table: Which of the following, if any, are you concerned about on behalf of your child/children aged 0 - 5?",,,,,,,,,,,,
,BASE: All those with children aged 0 - 5,,,,,,,,,,,,
,,,Scale,,,,,,,,,,
,,Total,1,2.0,3,4.0,5.0,6.0,Don't know,None of these,Not Ranked,NET: 1-3,NET: 1-6
,Concerned about child(ren),,,,,,,,,,,,
,Emotional wellbeing and/or mental health issues,805,224,173.0,117,51.0,22.0,18.0,18,32,151,513,605
,,,0.28,0.21,0.14,0.06,0.03,0.02,0.02,0.04,0.19,0.64,0.75
,Learning development,805,150,133.0,103,78.0,50.0,29.0,18,32,213,385,542
,,,0.19,0.16,0.13,0.1,0.06,0.04,0.02,0.04,0.26,0.48,0.67
,Friendships groups,805,106,121.0,118,78.0,67.0,34.0,18,32,233,344,522
,,,0.13,0.15,0.15,0.1,0.08,0.04,0.02,0.04,0.29,0.43,0.65
,Diet or eating habits,805,107,109.0,102,85.0,70.0,40.0,18,32,243,318,512
,,,0.13,0.14,0.13,0.1,0.09,0.05,0.02,0.04,0.3,0.39,0.64
,"Global issues such as climate change, war, or terrorism",805,103,66.0,76,74.0,96.0,66.0,18,32,275,244,480
,,,0.13,0.08,0.09,0.09,0.12,0.08,0.02,0.04,0.34,0.3,0.6
,Racism,805,66,60.0,57,45.0,72.0,126.0,18,32,328,184,427
,,,0.08,0.07,0.07,0.06,0.09,0.16,0.02,0.04,0.41,0.23,0.53
,Other,805,0,0.0,2,0.0,0.0,0.0,18,32,753,2,2
,,,0,0.0,*%,0.0,0.0,0.0,0.02,0.04,0.94,*%,*%
,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,
