Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q8_W3.8. Integrating people, such as refugees, into the community: Thinking about the wellbeing of your local community, which of the following do you see as being most important in the year ahead (2024)? By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,1,104,55,48,27,30,16,10,9,12,57,26,21,2,3,13,18,9,7,18,4,30,49,55,23,35,22,15,9,58,46,43,61,71,4,12,5,13,60,44,28,16,83,17,60,43,83,20,76,28,32,16,26,70,31,66,34
,,0.02,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.01,*%,0.01,0.02,0.03,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.1,0.02,0.02,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.01,0.02,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0.01
,,,,,cdefhi,cdefhi,,,,,cdefhi,,,,,ah,afh,ah,,ah,,afh,b,,,,,,,,,,a,,,,,abcd,,,,,,a,,,,,e,e,e,,,,,,
,2,123,58,63,34,32,16,17,14,10,66,33,24,10,3,8,12,15,16,16,9,35,50,74,40,52,18,9,4,92,31,47,75,80,7,21,7,7,75,46,28,19,100,20,102,21,110,13,93,35,36,22,27,91,33,87,35
,,0.02,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.01,0.04,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.02,0.05,0.04,0.03,0.05,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.01,0.02,0.01,0.03,0.04,0.03,0.02,0.01,0.02,0.01,0.02,0.01
,,,,,cdefhi,cdefhi,,f,,,cdefhi,f,,,,,,a,a,,,abcdgh,,,cdeg,deg,,,,cdeg,,,a,,a,a,a,,,,,,,a,b,,b,,e,e,e,e,,b,,b,
,3,122,55,67,27,28,15,25,18,10,55,39,28,16,3,12,6,14,14,12,19,27,50,73,29,45,21,21,7,74,48,53,69,91,4,19,2,6,85,37,18,18,108,14,81,38,89,31,68,14,38,16,31,73,42,86,33
,,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.03,0.03,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.01
,,,,,cfhi,cfi,,fi,f,,cfhi,fi,,,,,,dg,,,dg,dg,,,,,,,,,,,a,,d,ad,,d,,,,,,,,,,,e,,bde,,,,,b,
,4,117,64,53,19,23,26,16,9,25,42,42,34,15,3,19,13,7,16,17,10,18,52,66,24,47,22,18,7,71,46,62,53,98,3,11,5,0,69,46,27,19,104,11,59,47,84,30,76,23,37,16,30,65,50,85,30
,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.01
,,,,,e,e,ei,,,,e,e,,,,eh,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,e,e,e,,,,,b,
,5,112,49,63,32,19,18,13,17,14,51,30,31,10,4,10,13,12,16,19,11,17,41,72,27,35,22,15,13,62,51,60,52,84,2,22,5,0,69,42,24,21,94,15,78,32,89,22,67,24,21,22,31,67,45,81,30
,,0.02,0.02,0.02,0.04,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01
,,,,,bcdefhi,,,,,,dfhi,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,a,,,,,e,e,,e,,,,b,
,6,96,49,46,12,20,13,16,14,22,32,29,35,17,1,9,6,8,14,12,12,18,33,64,28,38,20,6,5,66,30,38,58,76,3,11,6,0,70,26,20,9,88,9,68,28,77,20,54,24,21,10,32,66,29,67,28
,,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,*%,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.02,0.03,0,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01
,,,,,,,,,,,,,,b,,,,,b,,,b,,,dg,dg,,,,dg,,,a,,,,,,d,,,,,,,,,,,de,,,,,,b,
,7,118,64,53,19,25,23,10,21,21,44,32,42,14,7,8,13,10,10,28,8,20,43,75,36,39,20,14,9,75,43,57,61,93,3,9,8,3,71,45,20,25,103,10,82,34,94,23,61,27,19,15,48,73,39,80,35
,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01
,,,,,d,d,d,,d,,d,,,,,,,,,h,,,,,g,,,,,,,,a,,,,a,,,,,,,,,,,,,c,,,,,,b,
,8,97,41,56,13,13,20,11,18,22,26,30,40,15,9,15,7,6,8,11,5,20,32,65,20,34,16,18,9,54,43,56,40,73,5,10,5,3,59,37,20,21,82,15,64,32,78,19,50,16,19,14,32,69,27,68,29
,,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01
,,,,,,,,,,,,,,,dgh,gh,,,,,,h,,,,,,,,,,,,,a,,,,,,,,,a,,,,,,,,,,b,,b,
,9,109,50,56,22,26,21,14,8,18,47,35,27,18,3,9,10,10,12,19,8,21,48,61,24,34,27,18,6,59,51,68,41,90,1,9,4,3,67,39,17,24,95,13,65,39,77,29,63,12,33,19,31,70,36,65,42
,,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.02
,,,,,ei,ei,ei,,,,efi,e,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,e,,be,,,,,,
,10,107,48,58,15,18,12,13,15,32,33,26,48,17,4,7,10,6,11,16,11,23,33,73,34,32,10,22,9,65,41,60,47,91,1,7,4,3,59,47,26,24,96,10,68,36,81,25,47,20,17,9,45,70,36,65,36
,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01
,,,,,,,,,,h,,,,,,,,,,,,,,,cg,,,c,,c,,,,,,,,,,a,,,,,,,,,,,,,,,,,
,11,101,35,64,9,21,21,19,13,18,30,40,31,20,4,8,12,10,4,16,8,20,31,69,23,36,17,9,16,59,42,58,43,78,4,13,3,3,50,50,35,23,86,11,60,39,69,30,52,10,27,16,38,64,32,70,30
