Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,
,Table 95,,,,,,,,,,
,"Q12N. Summary Table: Thinking about your local community, to what extent do you agree or disagree with the following statements?",,,,,,,,,,
,BASE: All respondents,,,,,,,,,,
,,,Scale,,,,,,,,
,,Total,Strongly agree,Tend to agree,Neither agree nor disagree,Tend to disagree,Strongly disagree,Don't know,Not applicable,NET: Agree,NET: Disagree
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i
,I would be willing to work together with others on something to improve my local community,6241,1102,2894,1346,471,248,140,40,3996,719
,,,0.18,0.46,0.22,0.08,0.04,0.02,0.01,0.64,0.12
,"When people in this area get involved, they can really change this community",6241,1071,2815,1386,444,210,294,22,3886,654
,,,0.17,0.45,0.22,0.07,0.03,0.05,*%,0.62,0.1
,"If I needed help, there are people who would be there for me",6241,1036,2665,1181,715,420,208,16,3701,1135
,,,0.17,0.43,0.19,0.11,0.07,0.03,*%,0.59,0.18
,People in my local community can be trusted,6241,717,2568,1678,680,352,231,14,3285,1032
,,,0.11,0.41,0.27,0.11,0.06,0.04,*%,0.53,0.17
,I have opportunities to join in with things in my community,6241,767,2448,1438,907,432,204,46,3215,1339
,,,0.12,0.39,0.23,0.15,0.07,0.03,0.01,0.52,0.21
,I am able to play a role in my community,6241,677,2183,1812,867,412,202,87,2860,1279
,,,0.11,0.35,0.29,0.14,0.07,0.03,0.01,0.46,0.2
,My community isn't the same as it used to be,6241,889,1731,1850,930,348,410,83,2620,1278
,,,0.14,0.28,0.3,0.15,0.06,0.07,0.01,0.42,0.2
,Difficult times in recent years (e.g. Covid-19 and Cost of Living crisis) has pulled us closer together,6241,656,1938,1761,1060,602,179,45,2594,1662
,,,0.11,0.31,0.28,0.17,0.1,0.03,0.01,0.42,0.27
,"Columns Tested: a,b,c,d,e,f,g,h,i",,,,,,,,,,
,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,
